original,first,second,correction
ඔවු ද,ඔවු,ද,ඔව් ද
ඔවුනට ද,ඔවුනට,ද,ඔවුනට ද
ඔවුන් ද,ඔවුන්,ද,ඔවුන් ද
ඔවුන්ට ද,ඔවුන්ට,ද,ඔවුන්ට ද
ඔවුහු ද,ඔවුහු,ද,ඔවුහු ද
කටයුතු ද,කටයුතු,ද,කටයුතු ද
කටයුතුවල ද,කටයුතුවල,ද,කටයුතුවල ද
කටයුතුවලදී ද,කටයුතුවලදී,ද,කටයුතුවල දී ද
කටහඬක් ද,කටහඬක්,ද,කටහඬක් ද
කණ්ඩායම් ද,කණ්ඩායම්,ද,කණ්ඩායම් ද
කතා ද,කතා,ද,කතා ද
කතාවක් ද,කතාවක්,ද,කතාවක් ද
කථනයක් ද,කථනයක්,ද,කථනයක් ද
කනගාටුවෙන් ද,කනගාටුවෙන්,ද,කනගාටුවෙන් ද
කඳවුරක් ද,කඳවුරක්,ද,කඳවුරක් ද
කපුටන්ට ද,කපුටන්ට,ද,කපුටන්ට ද
කම් ද,කම්,ද,කම් ද
කම්හලක ද,කම්හලක,ද,කම්හලක ද
කරනවා ද,කරනවා,ද,කරනවා ද
කරන්න ද,කරන්න,ද,කරන්න ද
කරන්නට ද,කරන්නට,ද,කරන්නට ද
කරන්නී ද,කරන්නී,ද,කරන්නී ද
කරන්නේ ද,කරන්නේ,ද,කරන්නේ ද
කරයි ද,කරයි,ද,කරයි ද
කරලා ද,කරලා,ද,කරලා ද
කරවීම ද,කරවීම,ද,කරවීම ද
කර්ම ද,කර්ම,ද,කර්ම ද
කර්මාන්තවල ද,කර්මාන්තවල,ද,කර්මාන්තවල ද
කරා ද,කරා,ද,කරා ද
කරාවි ද,කරාවි,ද,කරාවි ද
කරුණු ද,කරුණු,ද,කරුණු ද
කල ද,කල,ද,කල ද
කල්පනාව ද,කල්පනාව,ද,කල්පනාව ද
කලා ද,කලා,ද,කළා ද
කලාකෘති ද,කලාකෘති,ද,කලාකෘති ද
කලාවේ ද,කලාවේ,ද,කලාවේ ද
කවරහු ද,කවරහු,ද,කවරහු ද
කවරෙක් ද,කවරෙක්,ද,කවරෙක් ද
කවරේ ද,කවරේ,ද,කවරේ ද
කවි ද,කවි,ද,කවි ද
කවියෙක් ද,කවියෙක්,ද,කවියෙක් ද
කවිවලදී ද,කවිවලදී,ද,කවිවල දී ද
කවුරුන් ද,කවුරුන්,ද,කවුරුන් ද
කළ ද,කළ,ද,කළද
කළා ද,කළා,ද,කළා ද
කළේ ද,කළේ,ද,කළේ ද
ක්‍රමය ද,ක්‍රමය,ද,ක්‍රමය ද
ක්‍රමයන් ද,ක්‍රමයන්,ද,ක්‍රමයන් ද
ක්‍රියාදාමයන් ද,ක්‍රියාදාමයන්,ද,ක්‍රියාදාමයන් ද
ක්‍රියාමාර්ගයක් ද,ක්‍රියාමාර්ගයක්,ද,ක්‍රියාමාර්ගයක් ද
කාට ද,කාට,ද,කාට ද
කාන්තාව ද,කාන්තාව,ද,කාන්තාව ද
කාන්තාවගේ ද,කාන්තාවගේ,ද,කාන්තාවගේ ද
කාන්තාවෝ ද,කාන්තාවෝ,ද,කාන්තාවෝ ද
කාරණයක් ද,කාරණයක්,ද,කාරණයක් ද
කාර්යකට ද,කාර්යකට,ද,කාර්යයකට ද
කාර්යයට ද,කාර්යයට,ද,කාර්යයට ද
කාර්යාලයට ද,කාර්යාලයට,ද,කාර්යාලයට ද
කාලයේ ද,කාලයේ,ද,කාලයේ ද
කාව්‍යයේ ද,කාව්‍යයේ,ද,කාව්‍යයේ ද
කැමැත්ත ද,කැමැත්ත,ද,කැමැත්ත ද
කෑල්ලක් ද,කෑල්ලක්,ද,කෑල්ලක් ද
කියනවා ද,කියනවා,ද,කියනවා ද
කියන්න ද,කියන්න,ද,කියන්න ද
කියන්නා ද,කියන්නා,ද,කියන්නා ද
කියල ද,කියල,ද,කියලද
කියේදි ද,කියේදි,ද,කීයේදි ද
කිරීම ද,කිරීම,ද,කිරීම ද
කිරීමක් ද,කිරීමක්,ද,කිරීමක් ද
කිරීමට ද,කිරීමට,ද,කිරීමට ද
කිරීමේක්‍රම ද,කිරීමේක්‍රම,ද,කිරීමේ ක්‍රම ද
කිරීමේදී ද,කිරීමේදී,ද,කිරීමේ දී ද
කිවයුතු ද,කිවයුතු,ද,කිව යුතු ද
කිහිපදෙනෙක් ද,කිහිපදෙනෙක්,ද,කිහිප දෙනෙක් ද
කිහිපයක් ද,කිහිපයක්,ද,කිහිපයක් ද
කීපදෙනෙක් ද,කීපදෙනෙක්,ද,කීප දෙනෙක් ද
කීපයක් ද,කීපයක්,ද,කීපයක් ද
කුජ ද,කුජ,ද,කුජ ද
කුමක් ද,කුමක්,ද,කුමක් ද
කුමකින් ද,කුමකින්,ද,කුමකින් ද
කුමාරිකාවෝ ද,කුමාරිකාවෝ,ද,කුමාරිකාවෝ ද
කුරුල්ලෙකු ද,කුරුල්ලෙකු,ද,කුරුල්ලෙකු ද
කුරුල්ලෝ ද,කුරුල්ලෝ,ද,කුරුල්ලෝ ද
කෘති ද,කෘති,ද,කෘති ද
කෘතියේ ද,කෘතියේ,ද,කෘතියේ ද
කෙතරම් ද,කෙතරම්,ද,කෙතරම් ද
කෙතෙක් ද,කෙතෙක්,ද,කෙතෙක් ද
කෙරෙහි ද,කෙරෙහි,ද,කෙරෙහි ද
කෙලෙස ද,කෙලෙස,ද,කෙලෙස ද
කෙලෙසක ද,කෙලෙසක,ද,කෙලෙසක ද
කෙසේ ද,කෙසේ,ද,කෙසේ ද
කොට ද,කොට,ද,කොට ද
කොතරම් ද,කොතරම්,ද,කොතරම් ද
කොතෙක් ද,කොතෙක්,ද,කොතෙක් ද
කොපමණ ද,කොපමණ,ද,කොපමණ ද
කොමිසම ද,කොමිසම,ද,කොමිසම ද
කොල්ලා ද,කොල්ලා,ද,කොල්ලා ද
කොහෙන් ද,කොහෙන්,ද,කොහෙන්ද
කොහොම ද,කොහොම,ද,කොහොම ද
කොළන් ද,කොළන්,ද,කොළන් ද
කෞතුකාගාර ද,කෞතුකාගාර,ද,කෞතුකාගාර ද
ගඩොල් ද,ගඩොල්,ද,ගඩොල් ද
ගත්ත ද,ගත්ත,ද,ගත්ත ද
ගත්තා ද,ගත්තා,ද,ගත්තා ද
ගත්තේ ද,ගත්තේ,ද,ගත්තේ ද
ගන්නේ ද,ගන්නේ,ද,ගන්නේ ද
ගමන ද,ගමන,ද,ගමන ද
ගමන්වලට ද,ගමන්වලට,ද,ගමන්වලට ද
ගම්මානයෙහි ද,ගම්මානයෙහි,ද,ගම්මානයෙහි ද
ගමු ද,ගමු,ද,ගමු ද
ගමේ ද,ගමේ,ද,ගමේ ද
ගස ද,ගස,ද,ගස ද
ග්ලයිපොසෙට් ද,ග්ලයිපොසෙට්,ද,ග්ලයිපොසෙට් ද
ග්‍රාබියෙල් ද,ග්‍රාබියෙල්,ද,ග්‍රාබියෙල් ද
ගාථා ද,ගාථා,ද,ගාථා ද
ගාථාව ද,ගාථාව,ද,ගාථාව ද
ගායකයා ද,ගායකයා,ද,ගායකයා ද
ගායනයෙහිලා ද,ගායනයෙහිලා,ද,ගායනයෙහිලා ද
ගැන ද,ගැන,ද,ගැන ද
ගැනීම ද,ගැනීම,ද,ගැනීම ද
ගැනීමට ද,ගැනීමට,ද,ගැනීමට ද
ගැනුණේ ද,ගැනුණේ,ද,ගැනුණේ ද
ගැයීම ද,ගැයීම,ද,ගැයීම ද
ගැසීම් ද,ගැසීම්,ද,ගැසීම් ද
ගිය ද,ගිය,ද,ගියද
ගිහින් ද,ගිහින්,ද,ගිහින් ද
ගී ද,ගී,ද,ගී ද
ගීත ද,ගීත,ද,ගීත ද
ගුණවර්ධන ද,ගුණවර්ධන,ද,ගුණවර්ධන ද
ගුරුවරයෙකු ද,ගුරුවරයෙකු,ද,ගුරුවරයෙකු ද
ගුරුවරු ද,ගුරුවරු,ද,ගුරුවරු ද
ගුවනින් ද,ගුවනින්,ද,ගුවනින් ද
ගෙනයෑම ද,ගෙනයෑම,ද,ගෙන යෑම ද
ගෙන් ද,ගෙන්,ද,ගෙන් ද
ගෙනෙත් ද,ගෙනෙත්,ද,ගෙනෙත් ද
ගෙයක් ද,ගෙයක්,ද,ගෙයක් ද
ගොවියෝ ද,ගොවියෝ,ද,ගොවියෝ ද
ගෞරවයක් ද,ගෞරවයක්,ද,ගෞරවයක් ද
ඝාතනය ද,ඝාතනය,ද,ඝාතනය ද
චතුරංග ද,චතුරංග,ද,චතුරංග ද
චර්යාවෙන් ද,චර්යාවෙන්,ද,චර්යාවෙන් ද
චිත්‍රපට ද,චිත්‍රපට,ද,චිත්‍රපට ද
චිත්‍රවලින් ද,චිත්‍රවලින්,ද,චිත්‍රවලින් ද
චීස් ද,චීස්,ද,චීස් ද
ඡන්දය ද,ඡන්දය,ද,ඡන්දය ද
ඡායාරූප ද,ඡායාරූප,ද,ඡායාරූප ද
ජනක ද,ජනක,ද,ජනක ද
ජනතාවට ද,ජනතාවට,ද,ජනතාවට ද
ජනපති ද,ජනපති,ද,ජනපති ද
ජනයා ද,ජනයා,ද,ජනයා ද
ජපානයේ ද,ජපානයේ,ද,ජපානයේ ද
ජයන්තිය ද,ජයන්තිය,ද,ජයන්තිය ද
ජවනිකා ද,ජවනිකා,ද,ජවනිකා ද
ජාතිකයෝ ද,ජාතිකයෝ,ද,ජාතිකයෝ ද
ජීවිතය ද,ජීවිතය,ද,ජීවිතය ද
ජීවිතයේ ද,ජීවිතයේ,ද,ජීවිතයේ ද
ජීවිතයේදී ද,ජීවිතයේදී,ද,ජීවිතයේ දී ද
ජීවිතවල ද,ජීවිතවල,ද,ජීවිතවල ද
ජීවියා ද,ජීවියා,ද,ජීවියා ද
ජෙරොම් ද,ජෙරොම්,ද,ජෙරොම් ද
ටෝක් ද,ටෝක්,ද,ටෝක් ද
ඩිපෝවෙන් ද,ඩිපෝවෙන්,ද,ඩිපෝවෙන් ද
තත්ත්වය ද,තත්ත්වය,ද,තත්ත්වය ද
තත්ත්වයෙන් ද,තත්ත්වයෙන්,ද,තත්ත්වයෙන් ද
තත්වයක් ද,තත්වයක්,ද,තත්ත්වයක් ද
තනතුරකට ද,තනතුරකට,ද,තනතුරකට ද
තනතුරට ද,තනතුරට,ද,තනතුරට ද
තරම් ද,තරම්,ද,තරම් ද
තර්ජන ද,තර්ජන,ද,තර්ජන ද
තල්මසා ද,තල්මසා,ද,තල්මසා ද
තලිය ද,තලිය,ද,තලිය ද
ත්‍රිපිටක ද,ත්‍රිපිටක,ද,ත්‍රිපිටක ද
තාක්ෂණයෙන් ද,තාක්ෂණයෙන්,ද,තාක්ෂණයෙන් ද
තාපසතුමා ද,තාපසතුමා,ද,තාපසතුමා ද
තායිලන්තයේ ද,තායිලන්තයේ,ද,තායිලන්තයේ ද
තාර්කික ද,තාර්කික,ද,තාර්කික ද
තැනක ද,තැනක,ද,තැනක ද
තැබීම ද,තැබීම,ද,තැබීම ද
තිදෙනාගේ ද,තිදෙනාගේ,ද,තිදෙනාගේ ද
තිබීම ද,තිබීම,ද,තිබීම ද
තිබුණ ද,තිබුණ,ද,තිබුණද
තිබෙත් ද,තිබෙත්,ද,තිබෙත් ද
තිබෙන්නේ ද,තිබෙන්නේ,ද,තිබෙන්නේ ද
තිබේ ද,තිබේ,ද,තිබේ ද
තියෙනව ද,තියෙනව,ද,තියෙනවද
තියෙනවා ද,තියෙනවා,ද,තියෙනවා ද
තියේවි ද,තියේවි,ද,තියේවි ද
තිරය ද,තිරය,ද,තිරය ද
තුනක් ද,තුනක්,ද,තුනක් ද
තුල ද,තුල,ද,තුළ ද
තුවාල ද,තුවාල,ද,තුවාල ද
තුළ ද,තුළ,ද,තුළ ද
තුළදී ද,තුළදී,ද,තුළ දී ද
තුළින් ද,තුළින්,ද,තුළින් ද
තොරතුරු ද,තොරතුරු,ද,තොරතුරු ද
දක්වන්නේ ද,දක්වන්නේ,ද,දක්වන්නේ ද
දක්වා ද,දක්වා,ද,දක්වා ද
දක්වාම ද,දක්වාම,ද,දක්වා ම ද
දඬුවම ද,දඬුවම,ද,දඬුවම ද
දන්නේ ද,දන්නේ,ද,දන්නේ ද
දන්සැලක් ද,දන්සැලක්,ද,දන්සැලක් ද
දඹදිවින් ද,දඹදිවින්,ද,දඹදිවින් ද
දර්ශනයක් ද,දර්ශනයක්,ද,දර්ශනයක් ද
දරුවනට ද,දරුවනට,ද,දරුවනට ද
දරුවන් ද,දරුවන්,ද,දරුවන් ද
දරුවා ද,දරුවා,ද,දරුවා ද
දරුවාට ද,දරුවාට,ද,දරුවාට ද
දරුවෝ ද,දරුවෝ,ද,දරුවෝ ද
ද්විභාෂිකයන්ට ද,ද්විභාෂිකයන්ට,ද,ද්විභාෂිකයන්ට ද
දාගැබ් ද,දාගැබ්,ද,දාගැබ් ද
දායකත්වයක් ද,දායකත්වයක්,ද,දායකත්වයක් ද
දැක්වීම ද,දැක්වීම,ද,දැක්වීම ද
දැක්වීමට ද,දැක්වීමට,ද,දැක්වීමට ද
දැකියයුතු ද,දැකියයුතු,ද,දැකිය යුතු ද
දැනගන්ට ද,දැනගන්ට,ද,දැනගන්ට ද
දෑ ද,දෑ,ද,දෑ ද
දියුණුවක් ද,දියුණුවක්,ද,දියුණුවක් ද
දියුණුවට ද,දියුණුවට,ද,දියුණුවට ද
දී ද,දී,ද,දී ද
දීපයට ද,දීපයට,ද,දීපයට ද
දීපවංශය ද,දීපවංශය,ද,දීපවංශය ද
දීම ද,දීම,ද,දීම ද
දීමක් ද,දීමක්,ද,දීමක් ද
දුකයි ද,දුකයි,ද,දුකයි ද
දුන්න ද,දුන්න,ද,දුන්න ද
දුන්නකින් ද,දුන්නකින්,ද,දුන්නකින් ද
දුෂණ ද,දුෂණ,ද,දූෂණ ද
දෘෂ්ටිය ද,දෘෂ්ටිය,ද,දෘෂ්ඨිය ද
දෘෂ්ටියක් ද,දෘෂ්ටියක්,ද,දෘෂ්ඨියක් ද
දෙක ද,දෙක,ද,දෙක ද
දෙකක් ද,දෙකක්,ද,දෙකක් ද
දෙන්න ද,දෙන්න,ද,දෙන්න ද
දෙන්නේ ද,දෙන්නේ,ද,දෙන්නේ ද
දෙනෙකුට ද,දෙනෙකුට,ද,දෙනෙකුට ද
දෙපැත්තේ ද,දෙපැත්තේ,ද,දෙපැත්තේ ද
දෙයක් ද,දෙයක්,ද,දෙයක් ද
දෙයහළුවන් ද,දෙයහළුවන්,ද,දෙයහළුවන් ද
දෙයි ද,දෙයි,ද,දෙයි ද
දෙයින් ද,දෙයින්,ද,දෙයින් ද
දෙවියන්ගේ ද,දෙවියන්ගේ,ද,දෙවියන්ගේ ද
දෙස ද,දෙස,ද,දෙස ද
දෙසයි ද,දෙසයි,ද,දෙසයි ද
දේ ද,දේ,ද,දේ ද
දේපළ ද,දේපළ,ද,දේපල ද
දේවතාවෝ ද,දේවතාවෝ,ද,දේවතාවෝ ද
දේශනාවක් ද,දේශනාවක්,ද,දේශනාවක් ද
දේශනාවලදී ද,දේශනාවලදී,ද,දේශනාවල දී ද
දේශනාවෙන් ද,දේශනාවෙන්,ද,දේශනාවෙන් ද
දේශයේ ද,දේශයේ,ද,දේශයේ ද
ධනලාභයක් ද,ධනලාභයක්,ද,ධන ලාභයක් ද
ධම්මපදයේ ද,ධම්මපදයේ,ද,ධම්මපදයේ ද
ධර්ම ද,ධර්ම,ද,ධර්ම ද
ධර්මයක් ද,ධර්මයක්,ද,ධර්මයක් ද
නම ද,නම,ද,නම ද
නමක් ද,නමක්,ද,නමක් ද
නමකින් ද,නමකින්,ද,නමකින් ද
නයින්ට ද,නයින්ට,ද,නයින්ට ද
නලින් ද,නලින්,ද,නලින් ද
නාටිකාංගනාවෝ ද,නාටිකාංගනාවෝ,ද,නාටිකාංගනාවෝ ද
නායකයෙක් ද,නායකයෙක්,ද,නායකයෙක් ද
නාහිමියන් ද,නාහිමියන්,ද,නාහිමියන් ද
නැත්තේ ද,නැත්තේ,ද,නැත්තේ ද
නැතැයි ද,නැතැයි,ද,නැතැයි ද
නැනැත්තා ද,නැනැත්තා,ද,තැනැත්තා ද
නැරඹීමට ද,නැරඹීමට,ද,නැරඹීමට ද
නැවත ද,නැවත,ද,නැවත ද
නැහැයට ද,නැහැයට,ද,නැහැයට ද
නිදහස ද,නිදහස,ද,නිදහස ද
නියැළීමට ද,නියැළීමට,ද,නියැලීමට ද
නියෝගයක් ද,නියෝගයක්,ද,නියෝගයක් ද
නිර්මාණය ද,නිර්මාණය,ද,නිර්මාණය ද
නිලධාරීන් ද,නිලධාරීන්,ද,නිලධාරීන් ද
නිලමේවරු ද,නිලමේවරු,ද,නිලමේවරු ද
නිවැරදි ද,නිවැරදි,ද,නිවැරදි ද
නිසා ද,නිසා,ද,නිසා ද
නිසාවෙන් ද,නිසාවෙන්,ද,නිසාවෙන් ද
නිළමේතුමාගේ ද,නිළමේතුමාගේ,ද,නිලමේතුමාගේ ද
නූගතුන් ද,නූගතුන්,ද,නූගතුන් ද
නෙමේ ද,නෙමේ,ද,නෙමේ ද
නෙවිල් ද,නෙවිල්,ද,නෙවිල් ද
නේ ද,නේ,ද,නේද
නොගිය ද,නොගිය,ද,නොගියද
නොවන්නේ ද,නොවන්නේ,ද,නොවන්නේ ද
නොවුව ද,නොවුව,ද,නොවුවද
නොවේ ද,නොවේ,ද,නොවේ ද
පක්ෂීන්ට ද,පක්ෂීන්ට,ද,පක්ෂීන්ට ද
පටයක් ද,පටයක්,ද,පටයක් ද
පටි ද,පටි,ද,පටි ද
පණිවුඩයක් ද,පණිවුඩයක්,ද,පණිවුඩයක් ද
පත ද,පත,ද,පත ද
පත්කරන්නේ ද,පත්කරන්නේ,ද,පත් කරන්නේ ද
පත්වීම ද,පත්වීම,ද,පත් වීම ද
පදවන්නේ ද,පදවන්නේ,ද,පදවන්නේ ද
පනස්දහසක් ද,පනස්දහසක්,ද,පනස් දහසක් ද
පන්තියේ ද,පන්තියේ,ද,පන්තියේ ද
පන්දහසක් ද,පන්දහසක්,ද,පන්දහසක් ද
පන්සල්වල ද,පන්සල්වල,ද,පන්සල්වල ද
පමණ ද,පමණ,ද,පමණ ද
පමණයි ද,පමණයි,ද,පමණයි ද
