original,first,second,correction
වැඩසටහන් වල,වැඩසටහන්,වල,වැඩසටහන්වල
විද්‍යාල වල,විද්‍යාල,වල,විද්‍යාලවල
වියට්නාම් වල,වියට්නාම්,වල,වියට්නාම්වල
විවාද වල,විවාද,වල,විවාදවල
වීඩියෝ වල,වීඩියෝ,වල,වීඩියෝවල
වීදි වල,වීදි,වල,වීදිවල
වීල් වල,වීල්,වල,වීල්වල
වෙලාවල් වල,වෙලාවල්,වල,වෙලාවල්වල
වේගාස් වල,වේගාස්,වල,වේගාස්වල
ශ්‍රේණි වල,ශ්‍රේණි,වල,ශ්‍රේණිවල
සංචාර වල,සංචාර,වල,සංචාරවල
සංස්කෘතීන් වල,සංස්කෘතීන්,වල,සංස්කෘතීන්වල
සටහන් වල,සටහන්,වල,සටහන්වල
සබ් වල,සබ්,වල,සබ්වල
සම්බන්ධතා වල,සම්බන්ධතා,වල,සම්බන්ධතාවල
සමාගම් වල,සමාගම්,වල,සමාගම්වල
සල්ලාලකම් වල,සල්ලාලකම්,වල,සල්ලාලකම්වල
ස්ථාන වල,ස්ථාන,වල,ස්ථානවල
ස්ප්‍රීතු වල,ස්ප්‍රීතු,වල,ස්ප්‍රීතුවල
ස්වර වල,ස්වර,වල,ස්වරවල
සාකච්චා වල,සාකච්චා,වල,සාකච්චාවල
සාකච්ඡා වල,සාකච්ඡා,වල,සාකච්ඡාවල
සාක්ෂි වල,සාක්ෂි,වල,සාක්ෂිවල
සාධක වල,සාධක,වල,සාධකවල
සාස්තෘශාසන වල,සාස්තෘශාසන,වල,සාස්තෘශාසනවල
සිට්කොම් වල,සිට්කොම්,වල,සිට්කොම්වල
සිත් වල,සිත්,වල,සිත්වල
සිතුවම් වල,සිතුවම්,වල,සිතුවම්වල
සිතුවිලි වල,සිතුවිලි,වල,සිතුවිලිවල
සිනමාහල් වල,සිනමාහල්,වල,සිනමාහල්වල
සින්දු වල,සින්දු,වල,සින්දුවල
සියවස් වල,සියවස්,වල,සියවස්වල
සිරැසි වල,සිරැසි,වල,සිරැසිවල
සීඩී වල,සීඩී,වල,සීඩීවල
සුබාන් වල,සුබාන්,වල,සුබාන්වල
සූත්‍ර වල,සූත්‍ර,වල,සූත්‍රවල
හයිද්‍රාබාද් වල,හයිද්‍රාබාද්,වල,හයිද්‍රාබාද්වල
හැසිරීම් වල,හැසිරීම්,වල,හැසිරීම්වල
හිත් වල,හිත්,වල,හිත්වල
හේන් වල,හේන්,වල,හේන්වල
හෝටල් වල,හෝටල්,වල,හෝටල්වල
ෆිල්ම් වල,ෆිල්ම්,වල,ෆිල්ම්වල
