original,first,second,correction
ඩේවිඩ් ව,ඩේවිඩ්,ව,ඩේවිඩ් ව
තොර ව,තොර,ව,තොර ව
දැඩි ව,දැඩි,ව,දැඩි ව
දීර්ඝකාලීන ව,දීර්ඝකාලීන,ව,දීර්ඝ කාලීන ව
දෛනික ව,දෛනික,ව,දෛනික ව
නිපුන ව,නිපුන,ව,නිපුණ ව
නිවැරදි ව,නිවැරදි,ව,නිවැරදි ව
නිවැරැදි ව,නිවැරැදි,ව,නිවැරදි ව
නිශ්චිත ව,නිශ්චිත,ව,නිශ්චිත ව
නිහඩ ව,නිහඩ,ව,නිහඬ ව
නිහතමානී ව,නිහතමානී,ව,නිහතමානී ව
නො ව,නො,ව,නො ව
නොමැති ව,නොමැති,ව,නොමැති ව
නොහැකි ව,නොහැකි,ව,නොහැකි ව
පත් ව,පත්,ව,පත් ව
පදනම් ව,පදනම්,ව,පදනම් ව
පරිබාහිර ව,පරිබාහිර,ව,පරිබාහිර ව
පසු ව,පසු,ව,පසු ව
පසුකාලීන ව,පසුකාලීන,ව,පසුකාලීන ව
පහළ ව,පහළ,ව,පහළ ව
ප්‍රතිමා ව,ප්‍රතිමා,ව,ප්‍රතිමාව
පාත් ව,පාත්,ව,පාත් ව
පාලකයා ව,පාලකයා,ව,පාලකයා ව
පාෂාණීභූත ව,පාෂාණීභූත,ව,පාෂාණීභූත ව
පිට ව,පිට,ව,පිට ව
පිළිබඳ ව,පිළිබඳ,ව,පිළිබඳ ව
පිළිබඳව ව,පිළිබඳව,ව,පිළිබඳ ව ව
පුතයි ව,පුතයි,ව,පුතයි ව
බලාපොරොත්තු ව,බලාපොරොත්තු,ව,බලාපොරොත්තු ව
බහුල ව,බහුල,ව,බහුල ව
භාර ව,භාර,ව,භාර ව
භික්ෂු ව,භික්ෂු,ව,භික්ෂුව
මනුෂ්‍යයකු ව,මනුෂ්‍යයකු,ව,මනුෂ්‍යයකු ව
මැතිසන් ව,මැතිසන්,ව,මැතිසන් ව
මැදිහත් ව,මැදිහත්,ව,මැදිහත් ව
මූලික ව,මූලික,ව,මූලික ව
මෙවන් ව,මෙවන්,ව,මෙවන් ව
යුක්ත ව,යුක්ත,ව,යුක්ත ව
යුතු ව,යුතු,ව,යුතු ව
රාජ්‍යයක් ව,රාජ්‍යයක්,ව,රාජ්‍යයක් ව
රිද්මයානුකූල ව,රිද්මයානුකූල,ව,රිද්මයානුකූල ව
වටුවෙක් ව,වටුවෙක්,ව,වටුවෙක් ව
වර්ණ ව,වර්ණ,ව,වර්ණ ව
වහන්සේ ව,වහන්සේ,ව,වහන්සේ ව
වාර්ෂික ව,වාර්ෂික,ව,වාර්ෂික ව
විද්‍යාත්මක ව,විද්‍යාත්මක,ව,විද්‍යාත්මක ව
විමැසිලිමත් ව,විමැසිලිමත්,ව,විමසිලිමත් ව
වියරු ව,වියරු,ව,වියරු ව
වෙක්සි ව,වෙක්සි,ව,වෙක්සි ව
වෙන් ව,වෙන්,ව,වෙන් ව
වේගවත් ව,වේගවත්,ව,වේගවත් ව
ශක්තිමත් ව,ශක්තිමත්,ව,ශක්තිමත් ව
සකස් ව,සකස්,ව,සකස් ව
සදොස් ව,සදොස්,ව,සදොස් ව
සන්සුන් ව,සන්සුන්,ව,සන්සුන් ව
සනාථ ව,සනාථ,ව,සනාථ ව
සඳහන් ව,සඳහන්,ව,සඳහන් ව
සම්බන්ධ ව,සම්බන්ධ,ව,සම්බන්ධ ව
සරණාගත ව,සරණාගත,ව,සරණාගත ව
සහගත ව,සහගත,ව,සහගත ව
සහිත ව,සහිත,ව,සහිත ව
ස්වස්තුක ව,ස්වස්තුක,ව,ස්වස්තුක ව
සාපේක්ෂ ව,සාපේක්ෂ,ව,සාපේක්ෂ ව
සාර්වත්‍රික ව,සාර්වත්‍රික,ව,සාර්වත්‍රික ව
සැමියා ව,සැමියා,ව,සැමියා ව
සිදු ව,සිදු,ව,සිදු ව
සියුම් ව,සියුම්,ව,සියුම් ව
සිල්වත් ව,සිල්වත්,ව,සිල්වත් ව
සෘජු ව,සෘජු,ව,ඍජු ව
හැකි ව,හැකි,ව,හැකි ව
හුදකලා ව,හුදකලා,ව,හුදකලා ව
හුලා ව,හුලා,ව,හුලා ව
