original,correction
නොපිළිගන්වන,නොපිළිගන්වන
නොපෙන්වන,නොපෙන්වන
නොවන,නොවන
පටවන,පටවන
පණවන,පනවන
පත්කරවන,පත් කරවන
පත්නොවන,පත් නොවන
පත්වන,පත් වන
පතුරවන,පතුරුවන
පතුරුවන,පතුරුවන
පදවන,පදවන
පනවන,පනවන
පමුණුවන,පමුණුවන
පලඳවන,පලඳවන
පලමුවන,පළමුවන
පලවන,පළ වන
පවත්වන,පවත්වන
පවන,පවන
පස්වන,පස්වන
පසුවන,පසු වන
පහළවන,පහළ වන
පහළොස්වන,පහළොස්වන
පළමුවන,පළමුවන
පළවන,පළ වන
ප්‍රශ්නවන,ප්‍රශ්න වන
පාගවන,පාගවන
පාඨකයින්ගේවන,පාඨකයින්ගේ වන
පාත්‍රවන,පාත්‍ර වන
පැවැත්වන,පැවැත්වෙන
පැහැදිලිවන,පැහැදිලි වන
පිටත්වන,පිටත් වන
පිටවන,පිට වන
පිහිටුවන,පිහිටුවන
පිළිගන්වන,පිළිගන්වන
පිළිවන,පිළිවන
පුත්රුවන,පුත් රුවන
පුනරජීවන,පුනර්ජීවන
පුලුවන,පුළුවන
පුහුණුවන,පුහුණු වන
පුළුවන,පුළුවන
පෙන්වන,පෙන්වන
පෙරටුගාමීවන,පෙරටුගාමී වන
පොරවන,පොරවන
පොලඹවන,පොළඹවන
පොවන,පොවන
පොහොසත්වන,පොහොසත් වන
බරවන,බර වන
බලපවත්වන,බල පවත්වන
බලපොරොත්තුවන,බලාපොරොත්තු වන
බලාපොරොත්තුවන,බලාපොරොත්තු වන
බැරිවන,බැරි වන
බිහිවන,බිහි වන
බුදුවන,බුදු වන
බෝවන,බෝ වන
භාවිතාවන,භාවිතා වන
මගේවන,මගේ වන
මතුකරවන,මතු කරවන
මතුවන,මතු වන
මවන,මවන
මිටමොලවන,මිට මොලවන
මිශ්‍රවන,මිශ්‍ර වන
මීවන,මීවන
මෙහෙයවන,මෙහෙයවන
මේවන,මේ වන
යටවන,යට වන
යවන,යවන
යහපත්වන,යහපත් වන
යුතුවන,යුතු වන
යොදවන,යොදවන
යොමුවන,යොමු වන
යෞවන,යෞවන
රඳවන,රඳවන
රවන,රවන
රාවන,රාවණ
රැස්වන,රැස් වන
ලක්නොවන,ලක් නොවන
ලක්වන,ලක් වන
ලඟාවන,ළඟා වන
ලියවන,ලියවන
වගුරවන,වගුරුවන
වගුරුවන,වගුරුවන
වඩවන,වඩවන
වත්වන,වත්වන
වන,වන
වළක්වන,වළක්වන
වැගත්වන,වැදගත් වන
වැඩිවන,වැඩි වන
වැදගත්වන,වැදගත් වන
වැයවන,වැය වන
විකාශයවන,විකාශය වන
විනාශවන,විනාශ වන
විඳවන,විඳවන
විරුද්දවන,විරුද්ධ වන
විරුද්ධවන,විරුද්ධ වන
විවරවන,විවර වන
විසිවන,විසිවන
වුවන,වුවන
වෙනස්වන,වෙනස් වන
වෙන්වන,වෙන් වන
වේලුවන,වේළුවන
වේළුවන,වේළුවන
සංගතවන,සංගත වන
සංසිඳවන,සංසිඳවන
සඟරුවන,සඟරුවන
සත්වන,සත්වන
සතුටුවන,සතුටු වන
සතුවන,සතු වන
සඳහන්වන,සඳහන් වන
සමත්වන,සමත් වන
සම්බන්ධවන,සම්බන්ධ වන
සලස්වන,සලස්වන
සහභාගිවන,සහභාගී වන
සාර්ථකවන,සාර්ථක වන
සිටුවන,සිටුවන
සිද්ධවන,සිද්ධ වන
සිදුනොවන,සිදු නොවන
සිදුවන,සිදු වන
සිව්වන,සිව්වන
සිසිවන,සිසිවන
සිහිකැඳවන,සිහි කැඳවන
සිහිගන්වන,සිහි ගන්වන
සෙවන,සෙවණ
හඟවන,හඟවන
හතරවන,හතරවන
හත්වන,හත්වන
හදුන්වන,හඳුන්වන
හඳුන්වන,හඳුන්වන
හමුවන,හමු වන
හයවන,හයවන
හරවන,හරවන
හසුනොවන,හසු නොවන
හසුරුවන,හසුරුවන
හසුවන,හසු වන
හැකිවන,හැකි වන
හිඟවන,හිඟ වන
හිටවන,හිටවන
හිනස්සවන,හිනස්සවන
හිමිවන,හිමි වන
හෙවන,හෙවණ
හෙළිවන,හෙළි වන
හේතුවන,හේතු වන
හොබවන,හොබවන
