original,first,second,correction
සහ අයින්ස්ටයින්ගේ,සහ,අයින්ස්ටයින්ගේ,සහ අයින්ස්ටයින්ගේ
සහ අරක්කු,සහ,අරක්කු,සහ අරක්කු
සහ අලුත්,සහ,අලුත්,සහ අලුත්
සහ අවකාශය,සහ,අවකාශය,සහ අවකාශය
සහ අවයව,සහ,අවයව,සහ අවයව
සහ අවශ්‍ය,සහ,අවශ්‍ය,සහ අවශ්‍ය
සහ අවසන්,සහ,අවසන්,සහ අවසන්
සහ අවසාන,සහ,අවසාන,සහ අවසාන
සහ අවාමි,සහ,අවාමි,සහ අවාමි
සහ අස්ලම්,සහ,අස්ලම්,සහ අස්ලම්
සහ අහලා,සහ,අහලා,සහ අහලා
සහ ආගම්,සහ,ආගම්,සහ ආගම්
සහ ආගමික,සහ,ආගමික,සහ ආගමික
සහ ආණ්ඩු,සහ,ආණ්ඩු,සහ ආණ්ඩු
සහ ආණ්ඩුව,සහ,ආණ්ඩුව,සහ ආණ්ඩුව
සහ ආදරවන්තයා,සහ,ආදරවන්තයා,සහ ආදරවන්තයා
සහ ආනයනය,සහ,ආනයනය,සහ ආනයනය
සහ ආනාපානසති,සහ,ආනාපානසති,සහ ආනාපානසති
සහ ආරක්ෂක,සහ,ආරක්ෂක,සහ ආරක්ෂක
සහ ආරෝග්‍ය,සහ,ආරෝග්‍ය,සහ ආරෝග්‍ය
සහ ආසන,සහ,ආසන,සහ ආසන
සහ ආසනය,සහ,ආසනය,සහ ආසනය
සහ ආහාර,සහ,ආහාර,සහ ආහාර
සහ ඇඟට,සහ,ඇඟට,සහ ඇඟට
සහ ඇඳුම්,සහ,ඇඳුම්,සහ ඇඳුම්
සහ ඇපල්,සහ,ඇපල්,සහ ඇපල්
සහ ඇමරිකාව,සහ,ඇමරිකාව,සහ ඇමරිකාව
සහ ඉඩම්,සහ,ඉඩම්,සහ ඉඩම්
සහ ඉදිරි,සහ,ඉදිරි,සහ ඉදිරි
සහ ඉන්ද්‍රියන්,සහ,ඉන්ද්‍රියන්,සහ ඉන්ද්‍රියන්
සහ ඉන්දියාවේ,සහ,ඉන්දියාවේ,සහ ඉන්දියාවේ
සහ ඉරිදා,සහ,ඉරිදා,සහ ඉරිදා
සහ ඉහත,සහ,ඉහත,සහ ඉහත
සහ ඊට,සහ,ඊට,සහ ඊට
සහ උත්තරයක්,සහ,උත්තරයක්,සහ උත්තරයක්
සහ උතුරු,සහ,උතුරු,සහ උතුරු
සහ උපදේශ,සහ,උපදේශ,සහ උපදේශ
සහ උපදේශක,සහ,උපදේශක,සහ උපදේශක
සහ උපසිරැසි,සහ,උපසිරැසි,සහ උපසිරැසි
සහ උයන්ගොඩ,සහ,උයන්ගොඩ,සහ උයන්ගොඩ
සහ උරහිස,සහ,උරහිස,සහ උරහිස
සහ උසස්,සහ,උසස්,සහ උසස්
සහ එකලස්,සහ,එකලස්,සහ එකලස්
සහ එක්සත්,සහ,එක්සත්,සහ එක්සත්
සහ එකීඩෝ,සහ,එකීඩෝ,සහ එකීඩෝ
සහ එතෙර,සහ,එතෙර,සහ එතෙර
සහ එදාට,සහ,එදාට,සහ එදාට
සහ එන්නත,සහ,එන්නත,සහ එන්නත
සහ එයින්,සහ,එයින්,සහ එයින්
සහ එහි,සහ,එහි,සහ එහි
සහ ඒ,සහ,ඒ,සහ ඒ
සහ ඒකට,සහ,ඒකට,සහ ඒකට
සහ ඒවා,සහ,ඒවා,සහ ඒවා
සහ ඒවාායේ,සහ,ඒවාායේ,සහ ඒවායේ
සහ ඔටුන්න,සහ,ඔටුන්න,සහ ඔටුන්න
සහ ඔබ,සහ,ඔබ,සහ ඔබ
සහ ඔබගේ,සහ,ඔබගේ,සහ ඔබගේ
සහ ඔබේ,සහ,ඔබේ,සහ ඔබේ
සහ ඔවුන්,සහ,ඔවුන්,සහ ඔවුන්
සහ ඔවුන්ගේ,සහ,ඔවුන්ගේ,සහ ඔවුන්ගේ
සහ ඔහුගේ,සහ,ඔහුගේ,සහ ඔහුගේ
සහ ඔහුට,සහ,ඔහුට,සහ ඔහුට
සහ ඕපාදුප,සහ,ඕපාදුප,සහ ඕපාදූප
සහ කටුක,සහ,කටුක,සහ කටුක
සහ කතාවේ,සහ,කතාවේ,සහ කතාවේ
සහ කතෝලික,සහ,කතෝලික,සහ කතෝලික
සහ කතෝලිකයින්,සහ,කතෝලිකයින්,සහ කතෝලිකයින්
සහ කන්පෙත්තේ,සහ,කන්පෙත්තේ,සහ කන්පෙත්තේ
සහ කන්‍යා,සහ,කන්‍යා,සහ කන්‍යා
සහ කරඬු,සහ,කරඬු,සහ කරඬු
සහ කරන,සහ,කරන,සහ කරන
සහ කර්ම,සහ,කර්ම,සහ කර්ම
සහ කලබල,සහ,කලබල,සහ කලබල
සහ කලවා,සහ,කලවා,සහ කලවා
සහ කල්පනාවේ,සහ,කල්පනාවේ,සහ කල්පනාවේ
සහ කලා,සහ,කලා,සහ කලා
සහ කවි,සහ,කවි,සහ කවි
සහ කළමනාකරණය,සහ,කළමනාකරණය,සහ කළමනාකරණය
සහ කළුරිය,සහ,කළුරිය,සහ කළුරිය
සහ ක්‍රම,සහ,ක්‍රම,සහ ක්‍රම
සහ ක්‍රමවත්ව,සහ,ක්‍රමවත්ව,සහ ක්‍රමවත් ව
සහ ක්‍රියාශූරත්වය,සහ,ක්‍රියාශූරත්වය,සහ ක්‍රියාශූරත්වය
සහ කාන්තාව,සහ,කාන්තාව,සහ කාන්තාව
සහ කාර්ය,සහ,කාර්ය,සහ කාර්ය
සහ කාර්යක්ෂම,සහ,කාර්යක්ෂම,සහ කාර්යක්ෂම
සහ කාර්යාලයන්හි,සහ,කාර්යාලයන්හි,සහ කාර්යාලයන්හි
සහ කැපවීම,සහ,කැපවීම,සහ කැපවීම
සහ කැමරාශිල්පීන්,සහ,කැමරාශිල්පීන්,සහ කැමරා ශිල්පීන්
සහ කැරළි,සහ,කැරළි,සහ කැරලි
සහ කිරි,සහ,කිරි,සහ කිරි
සහ කුජ,සහ,කුජ,සහ කුජ
සහ කුඩා,සහ,කුඩා,සහ කුඩා
සහ කුණ්ඩලාභරණයෙන්,සහ,කුණ්ඩලාභරණයෙන්,සහ කුණ්ඩලාභරණයෙන්
සහ කුරුල්ලන්ගේ,සහ,කුරුල්ලන්ගේ,සහ කුරුල්ලන්ගේ
සහ කුලවාදී,සහ,කුලවාදී,සහ කුලවාදී
සහ කුසලයෙහි,සහ,කුසලයෙහි,සහ කුසලයෙහි
සහ කෘමි,සහ,කෘමි,සහ කෘමි
සහ කෘමිනාශක,සහ,කෘමිනාශක,සහ කෘමිනාශක
සහ කෘෂිකර්ම,සහ,කෘෂිකර්ම,සහ කෘෂිකර්ම
සහ කොටි,සහ,කොටි,සහ කොටි
සහ කොන්ද,සහ,කොන්ද,සහ කොන්ද
සහ කෝත්කා,සහ,කෝත්කා,සහ කෝත්කා
සහ කෲරත්වය,සහ,කෲරත්වය,සහ කෲරත්වය
සහ ඛාන්,සහ,ඛාන්,සහ ඛාන්
සහ ගංගානි,සහ,ගංගානි,සහ ගංගානි
සහ ගම්මිරිස්,සහ,ගම්මිරිස්,සහ ගම්මිරිස්
සහ ගමේ,සහ,ගමේ,සහ ගමේ
සහ ගයා,සහ,ගයා,සහ ගයා
සහ ගර්හාවට,සහ,ගර්හාවට,සහ ගර්හාවට
සහ ගව,සහ,ගව,සහ ගව
සහ ගවහිමියන්,සහ,ගවහිමියන්,සහ ගව හිමියන්
සහ ගස්,සහ,ගස්,සහ ගස්
සහ ගහන,සහ,ගහන,සහගහන
සහ ග්‍රීසියේ,සහ,ග්‍රීසියේ,සහ ග්‍රීසියේ
සහ ග්‍රේචන්,සහ,ග්‍රේචන්,සහ ග්‍රේචන්
සහ ග්‍රේටල්,සහ,ග්‍රේටල්,සහ ග්‍රේටල්
සහ ගායනයත්,සහ,ගායනයත්,සහ ගායනයත්
සහ ගාර්මන්ට්,සහ,ගාර්මන්ට්,සහ ගාමන්ට්
සහ ගාල්ල,සහ,ගාල්ල,සහ ගාල්ල
සහ ගැටුමේ,සහ,ගැටුමේ,සහ ගැටුමේ
සහ ගැඹුරින්,සහ,ගැඹුරින්,සහ ගැඹුරින්
සහ ගැහැනියක්,සහ,ගැහැනියක්,සහ ගැහැනියක්
සහ ගැහැනු,සහ,ගැහැනු,සහ ගැහැනු
සහ ගිටාරය,සහ,ගිටාරය,සහ ගිටාරය
සහ ගිහියන්ගේ,සහ,ගිහියන්ගේ,සහ ගිහියන්ගේ
සහ ගුණගරුක,සහ,ගුණගරුක,සහ ගුණගරුක
සහ ගුණාත්මකභාවය,සහ,ගුණාත්මකභාවය,සහ ගුණාත්මකභාවය
සහ ගුරාට,සහ,ගුරාට,සහ ගුරාට
සහ ගුරුවරුන්ට,සහ,ගුරුවරුන්ට,සහ ගුරුවරුන්ට
සහ ගුල්ෂාන්,සහ,ගුල්ෂාන්,සහ ගුල්ෂාන්
සහ ගෙදර,සහ,ගෙදර,සහ ගෙදර
සහ ගොසිප්,සහ,ගොසිප්,සහ ගොසිප්
සහ ගෝඨාභය,සහ,ගෝඨාභය,සහ ගෝඨාභය
සහ ඝාතනය,සහ,ඝාතනය,සහ ඝාතනය
සහ චරිත,සහ,චරිත,සහ චරිත
සහ චලනය,සහ,චලනය,සහ චලනය
සහ චිත්‍ර,සහ,චිත්‍ර,සහ චිත්‍ර
සහ චින්තනය,සහ,චින්තනය,සහ චින්තනය
සහ චීවර,සහ,චීවර,සහ චීවර
සහ චෝන්,සහ,චෝන්,සහ චෝන්
සහ ජනගහනමය,සහ,ජනගහනමය,සහ ජනගහනමය
සහ ජනතා,සහ,ජනතා,සහ ජනතා
සහ ජනතාව,සහ,ජනතාව,සහ ජනතාව
සහ ජපන්,සහ,ජපන්,සහ ජපන්
සහ ජය,සහ,ජය,සහ ජය
සහ ජයදේව,සහ,ජයදේව,සහ ජයදේව
සහ ජලජ,සහ,ජලජ,සහ ජලජ
සහ ජලය,සහ,ජලය,සහ ජලය
සහ ජවිපෙ,සහ,ජවිපෙ,සහ ජවිපෙ
සහ ජාතක,සහ,ජාතක,සහ ජාතක
සහ ජාතික,සහ,ජාතික,සහ ජාතික
සහ ජාතියේ,සහ,ජාතියේ,සහ ජාතියේ
සහ ජෙප්පන්ට,සහ,ජෙප්පන්ට,සහ ජෙප්පන්ට
සහ ජෝකරයෝ,සහ,ජෝකරයෝ,සහ ජෝකරයෝ
සහ ජෝයි,සහ,ජෝයි,සහ ජෝයි
සහ ඥාති,සහ,ඥාති,සහ ඥාති
සහ ටින්,සහ,ටින්,සහ ටින්
සහ ටුට්සි,සහ,ටුට්සි,සහ ටුට්සි
සහ තමාගේ,සහ,තමාගේ,සහ තමාගේ
සහ තරංගමය,සහ,තරංගමය,සහ තරංගමය
සහ තර්කානුකූල,සහ,තර්කානුකූල,සහ තර්කානුකූල
සහ තරුණයන්,සහ,තරුණයන්,සහ තරුණයන්
සහ තරුණයින්,සහ,තරුණයින්,සහ තරුණයින්
සහ තවත්,සහ,තවත්,සහ තවත්
සහ තහවුරු,සහ,තහවුරු,සහ තහවුරු
සහ තියුණු,සහ,තියුණු,සහ තියුණු
සහ තිරිසන්,සහ,තිරිසන්,සහ තිරිසන්
සහ තෘප්තිකර,සහ,තෘප්තිකර,සහ තෘප්තිකර
සහ තෘප්තියකින්,සහ,තෘප්තියකින්,සහ තෘප්තියකින්
සහ තෙල්,සහ,තෙල්,සහ තෙල්
සහ ථූපවංශය,සහ,ථූපවංශය,සහ ථූපවංශය
සහ දක්ෂතාවය,සහ,දක්ෂතාවය,සහ දක්ෂතාවය
සහ දකුණු,සහ,දකුණු,සහ දකුණු
සහ දමිල,සහ,දමිල,සහ දමිල
සහ දරුවන්ගෙන්,සහ,දරුවන්ගෙන්,සහ දරුවන්ගෙන්
සහ දරුවන්ගේ,සහ,දරුවන්ගේ,සහ දරුවන්ගේ
සහ දරුවා,සහ,දරුවා,සහ දරුවා
සහ දාමරිකයො,සහ,දාමරිකයො,සහ දාමරිකයො
සහ දැඩි,සහ,දැඩි,සහ දැඩි
සහ දැනගතයුතු,සහ,දැනගතයුතු,සහ දැනගත යුතු
සහ දැන්,සහ,දැන්,සහ දැන්
සහ දිය,සහ,දිය,සහ දිය
සහ දියණිය,සහ,දියණිය,සහ දියණිය
සහ දියර,සහ,දියර,සහ දියර
සහ දියවැල්,සහ,දියවැල්,සහ දියවැල්
සහ දිස්ත්‍රික්ක,සහ,දිස්ත්‍රික්ක,සහ දිස්ත්‍රික්ක
සහ දුර්වල,සහ,දුර්වල,සහ දුර්වල
සහ දෙමව්පියන්,සහ,දෙමව්පියන්,සහ දෙමව්පියන්
සහ දෙමව්පියන්ට,සහ,දෙමව්පියන්ට,සහ දෙමව්පියන්ට
සහ දෙවිලොවට,සහ,දෙවිලොවට,සහ දෙව්ලොවට
සහ දේපල,සහ,දේපල,සහ දේපල
සහ දේශපාලනික,සහ,දේශපාලනික,සහ දේශපාලනික
සහ ධනවත්ම,සහ,ධනවත්ම,සහ ධනවත් ම
සහ ධර්ම,සහ,ධර්ම,සහ ධර්ම
සහ ධාතු,සහ,ධාතු,සහ ධාතු
සහ නගුල,සහ,නගුල,සහ නඟුල
සහ නරක,සහ,නරක,සහ නරක
සහ නර්තනය,සහ,නර්තනය,සහ නර්තනය
සහ නහරවලින්,සහ,නහරවලින්,සහ නහරවලින්
සහ නාට්‍යකරුවා,සහ,නාට්‍යකරුවා,සහ නාට්‍යකරුවා
සහ නාරි,සහ,නාරි,සහ නාරි
සහ නාලන්දේ,සහ,නාලන්දේ,සහ නාලන්දේ
සහ නැව්,සහ,නැව්,සහ නැව්
සහ නිගමන,සහ,නිගමන,සහ නිගමන
සහ නිදහස්ව,සහ,නිදහස්ව,සහ නිදහස් ව
සහ නියම,සහ,නියම,සහ නියම
සහ නිරවුල්,සහ,නිරවුල්,සහ නිරවුල්
සහ නිර්මාණකරණ,සහ,නිර්මාණකරණ,සහ නිර්මාණකරණ
සහ නිරෝෂාගේ,සහ,නිරෝෂාගේ,සහ නිරෝෂාගේ
සහ නිලධාරීන්ගේ,සහ,නිලධාරීන්ගේ,සහ නිලධාරීන්ගේ
සහ නීති,සහ,නීති,සහ නීති
සහ නීතිමය,සහ,නීතිමය,සහ නීතිමය
සහ නීතියක්,සහ,නීතියක්,සහ නීතියක්
සහ නුගත්,සහ,නුගත්,සහ නූගත්
සහ නූගත්කමින්,සහ,නූගත්කමින්,සහ නූගත්කමින්
සහ නේටෝ,සහ,නේටෝ,සහ නේටෝ
සහ නොපසුබස්නා,සහ,නොපසුබස්නා,සහ නොපසුබස්නා
සහ නොපිළිගැනීම,සහ,නොපිළිගැනීම,සහ නොපිළිගැනීම
සහ නොයෙක්,සහ,නොයෙක්,සහ නොයෙක්
සහ පංචි,සහ,පංචි,සහ පංචි
සහ පන්තියේ,සහ,පන්තියේ,සහ පන්තියේ
සහ පරම,සහ,පරම,සහ පරම
සහ පරමාදර්ශය,සහ,පරමාදර්ශය,සහ පරමාදර්ශය
සහ පරිගණක,සහ,පරිගණක,සහ පරිගණක
සහ පරිනිර්වාණයෙන්,සහ,පරිනිර්වාණයෙන්,සහ පරිනිර්වාණයෙන්
සහ පරිසර,සහ,පරිසර,සහ පරිසර
සහ පවතින,සහ,පවතින,සහ පවතින
සහ පවුලේ,සහ,පවුලේ,සහ පවුලේ
සහ පසු,සහ,පසු,සහ පසු
සහ පහසුකම්,සහ,පහසුකම්,සහ පහසුකම්
සහ ප්‍රංශ,සහ,ප්‍රංශ,සහ ප්‍රංශ
සහ ප්‍රකාශ,සහ,ප්‍රකාශ,සහ ප්‍රකාශ
සහ ප්‍රකාශන,සහ,ප්‍රකාශන,සහ ප්‍රකාශන
සහ ප්‍රඥාව,සහ,ප්‍රඥාව,සහ ප්‍රඥාව
සහ ප්‍රතිපත්ති,සහ,ප්‍රතිපත්ති,සහ ප්‍රතිපත්ති
සහ ප්‍රතිමා,සහ,ප්‍රතිමා,සහ ප්‍රතිමා
සහ ප්‍රවෘත්තිමය,සහ,ප්‍රවෘත්තිමය,සහ ප්‍රවෘත්තිමය
සහ ප්‍රසිද්ධිය,සහ,ප්‍රසිද්ධිය,සහ ප්‍රසිද්ධිය
සහ ප්‍රාග්ධනය,සහ,ප්‍රාග්ධනය,සහ ප්‍රාග්ධනය
සහ ප්‍රාණ,සහ,ප්‍රාණ,සහ ප්‍රාණ
සහ ප්‍රේක්ෂක,සහ,ප්‍රේක්ෂක,සහ ප්‍රේක්ෂක
සහ පාකිස්තානු,සහ,පාකිස්තානු,සහ පාකිස්තානු
සහ පාකිස්ථානය,සහ,පාකිස්ථානය,සහ පාකිස්ථානය
සහ පාරිසරික,සහ,පාරිසරික,සහ පාරිසරික
සහ පාසල්,සහ,පාසල්,සහ පාසල්
සහ පැටිය,සහ,පැටිය,සහ පැටියා
සහ පැවිදි,සහ,පැවිදි,සහ පැවිදි
සහ පෑන්වලටයි,සහ,පෑන්වලටයි,සහ පෑන්වලටයි
සහ පිටිදුවෙ,සහ,පිටිදුවෙ,සහ පිටිදූවෙ
සහ පින්සලය,සහ,පින්සලය,සහ පින්සලය
සහ පින්සලයක්,සහ,පින්සලයක්,සහ පින්සලයක්
සහ පියගැටපෙළ,සහ,පියගැටපෙළ,සහ පියගැට පෙළ
සහ පියාට,සහ,පියාට,සහ පියාට
සහ පිරිමින්,සහ,පිරිමින්,සහ පිරිමින්
සහ පිහිටි,සහ,පිහිටි,සහ පිහිටි
සහ පුතාලා,සහ,පුතාලා,සහ පුතාලා
සහ පුබ්බාචරිය,සහ,පුබ්බාචරිය,සහ පුබ්බාචරිය
සහ පුරාවිද්‍යා,සහ,පුරාවිද්‍යා,සහ පුරාවිද්‍යා
සහ පූජාවලියට,සහ,පූජාවලියට,සහ පූජාවලියට
සහ පේරාදෙණියේ,සහ,පේරාදෙණියේ,සහ පේරාදෙණියේ
සහ පේරාදෙණියේද,සහ,පේරාදෙණියේද,සහ පේරාදෙණියේ ද
සහ පොත්වල,සහ,පොත්වල,සහ පොත්වල
සහ පොල්,සහ,පොල්,සහ පොල්
සහ පොලිස්,සහ,පොලිස්,සහ පොලිස්
සහ පොලිසිය,සහ,පොලිසිය,සහ පොලිසිය
සහ පොලොව,සහ,පොලොව,සහ පොළොව
සහ පොළොන්නරු,සහ,පොළොන්නරු,සහ පොළොන්නරු
සහ පොළොන්නරුව,සහ,පොළොන්නරුව,සහ පොළොන්නරුව
සහ බත්,සහ,බත්,සහ බත්
සහ බදාදා,සහ,බදාදා,සහ බදාදා
සහ බලවත්ව,සහ,බලවත්ව,සහ බලවත් ව
සහ බළලූන්,සහ,බළලූන්,සහ බළලුන්
සහ බ්‍රයන්,සහ,බ්‍රයන්,සහ බ්‍රයන්
සහ බාහිර,සහ,බාහිර,සහ බාහිර
සහ බැනියම,සහ,බැනියම,සහ බැනියම
සහ බිත්තර,සහ,බිත්තර,සහ බිත්තර
සහ බිරිද,සහ,බිරිද,සහ බිරිඳ
සහ බිරිය,සහ,බිරිය,සහ බිරිය
සහ බුද්ධ,සහ,බුද්ධ,සහ බුද්ධ
සහ බුද්ධඥාණය,සහ,බුද්ධඥාණය,සහ බුද්ධ ඥාණය
සහ බුද්ධිමතාගේ,සහ,බුද්ධිමතාගේ,සහ බුද්ධිමතාගේ
සහ බුදුදහමේ,සහ,බුදුදහමේ,සහ බුදුදහමේ
සහ බෙලික්ව,සහ,බෙලික්ව,සහ බෙලික්ව
සහ බොදු,සහ,බොදු,සහ බොදු
සහ බොරුව,සහ,බොරුව,සහ බොරුව
සහ බෝධි,සහ,බෝධි,සහ බෝධි
සහ බෞද්ධ,සහ,බෞද්ධ,සහ බෞද්ධ
සහ භයානක,සහ,භයානක,සහ භයානක
සහ භාවනා,සහ,භාවනා,සහ භාවනා
සහ භාවිතයයි,සහ,භාවිතයයි,සහ භාවිතය යි
සහ භික්ශූන්,සහ,භික්ශූන්,සහ භික්ෂූන්
සහ භික්ෂුන්ගෙන්,සහ,භික්ෂුන්ගෙන්,සහ භික්ෂූන්ගෙන්
සහ භූමියේ,සහ,භූමියේ,සහ භූමියේ
සහ භෞතික,සහ,භෞතික,සහ භෞතික
සහ මධ්‍ය,සහ,මධ්‍ය,සහ මධ්‍ය
සහ මධ්‍යකාලීන,සහ,මධ්‍යකාලීන,සහ මධ්‍යකාලීන
සහ මනස,සහ,මනස,සහ මනස
සහ මනස්,සහ,මනස්,සහ මනස්
සහ මන්නාරම,සහ,මන්නාරම,සහ මන්නාරම
සහ මම,සහ,මම,සහ මම
සහ මයික්,සහ,මයික්,සහ මයික්
සහ මරණය,සහ,මරණය,සහ මරණය
සහ මහාවංශය,සහ,මහාවංශය,සහ මහාවංශය
සහ මහින්දාලංකාර,සහ,මහින්දාලංකාර,සහ මහින්දාලංකාර
සහ මා,සහ,මා,සහ මා
සහ මාතර,සහ,මාතර,සහ මාතර
සහ මාතෘකාවට,සහ,මාතෘකාවට,සහ මාතෘකාවට
සහ මායා,සහ,මායා,සහ මායා
සහ මැක්ස්ගේ,සහ,මැක්ස්ගේ,සහ මැක්ස්ගේ
සහ මිතුනා,සහ,මිතුනා,සහ මිතුනා
සහ මිනිසා,සහ,මිනිසා,සහ මිනිසා
සහ මිරිසවැටිය,සහ,මිරිසවැටිය,සහ මිරිසවැටිය
සහ මී,සහ,මී,සහ මී
සහ මුද්‍රණය,සහ,මුද්‍රණය,සහ මුද්‍රණය
සහ මුද්‍රන,සහ,මුද්‍රන,සහ මුද්‍රණ
සහ මුල්ම,සහ,මුල්ම,සහ මුල් ම
සහ මුස්ලිම්,සහ,මුස්ලිම්,සහ මුස්ලිම්
සහ මුහුදු,සහ,මුහුදු,සහ මුහුදු
සහ මූල්‍ය,සහ,මූල්‍ය,සහ මූල්‍ය
සහ මූලික,සහ,මූලික,සහ මූලික
සහ මූසිල,සහ,මූසිල,සහ මූසිල
සහ මෙහෙයවීමේක්‍රමවේදයක්,සහ,මෙහෙයවීමේක්‍රමවේදයක්,සහ මෙහෙයවීමේ ක්‍රමවේදයක්
සහ මේ,සහ,මේ,සහ මේ
සහ මෛත්‍රී,සහ,මෛත්‍රී,සහ මෛත්‍රී
සහ මොනිටොබෝ,සහ,මොනිටොබෝ,සහ මොනිටොබෝ
සහ මොලේ,සහ,මොලේ,සහ මොළේ
සහ මොළයද,සහ,මොළයද,සහ මොළය ද
සහ මෝඩ,සහ,මෝඩ,සහ මෝඩ
සහ මෝහන,සහ,මෝහන,සහ මෝහන
සහ යසකුල,සහ,යසකුල,සහ යස කුල
සහ යහපත,සහ,යහපත,සහ යහපත
සහ යාළුවෝ,සහ,යාළුවෝ,සහ යාළුවෝ
සහ යුරෝපයේ,සහ,යුරෝපයේ,සහ යුරෝපයේ
සහ යුරෝපීය,සහ,යුරෝපීය,සහ යුරෝපීය
සහ යොදාගෙන,සහ,යොදාගෙන,සහ යොදාගෙන
සහ රජයක්,සහ,රජයක්,සහ රජයක්
සහ රජයේ,සහ,රජයේ,සහ රජයේ
සහ රටක,සහ,රටක,සහ රටක
සහ රන්,සහ,රන්,සහ රන්
සහ රබර්,සහ,රබර්,සහ රබර්
සහ රසයක,සහ,රසයක,සහ රසයක
සහ රහතන්,සහ,රහතන්,සහ රහතන්
සහ රාජකාරී,සහ,රාජකාරී,සහ රාජකාරී
සහ රාත්‍රී,සහ,රාත්‍රී,සහ රාත්‍රී
සහ රාමගෙන්,සහ,රාමගෙන්,සහ රාමගෙන්
සහ රාහුගේ,සහ,රාහුගේ,සහ රාහුගේ
සහ රැකවරණය,සහ,රැකවරණය,සහ රැකවරණය
සහ රිද්මය,සහ,රිද්මය,සහ රිද්මය
සහ රිදී,සහ,රිදී,සහ රිදී
සහ රි්දම,සහ,රි්දම,සහ රිද්ම
සහ රුසියානු,සහ,රුසියානු,සහ රුසියානු
සහ රූ,සහ,රූ,සහ රූ
සහ රූමත්,සහ,රූමත්,සහ රූමත්
සහ රොෂාන්,සහ,රොෂාන්,සහ රොෂාන්
සහ රෝගීන්ට,සහ,රෝගීන්ට,සහ රෝගීන්ට
සහ රෝසචිත්‍රපටය,සහ,රෝසචිත්‍රපටය,සහ රෝස චිත්‍රපටය
සහ ලක්ෂ,සහ,ලක්ෂ,සහ ලක්ෂ
සහ ලිඛිත,සහ,ලිඛිත,සහ ලිඛිත
සහ ලිබියාවේ,සහ,ලිබියාවේ,සහ ලිබියාවේ
සහ ලුසී,සහ,ලුසී,සහ ලුසී
සහ ලේ,සහ,ලේ,සහ ලේ
සහ ලෝකය,සහ,ලෝකය,සහ ලෝකය
සහ වංචාව,සහ,වංචාව,සහ වංචාව
සහ වංචාවට,සහ,වංචාවට,සහ වංචාවට
සහ වංචාවෙන්,සහ,වංචාවෙන්,සහ වංචාවෙන්
සහ වක්‍ර,සහ,වක්‍ර,සහ වක්‍ර
සහ වචනයයි,සහ,වචනයයි,සහ වචනය යි
සහ වටිනා,සහ,වටිනා,සහ වටිනා
සහ වන්දනාව,සහ,වන්දනාව,සහ වන්දනාව
