utterance_id,speaker_id,utterance,gender,utterance_corrected
080a1396e5,88a58,1854 නොවැම්බර් මස 27වන දිනදීය,f,එක්දාස් අටසිය පනස් හතරේ නොවැම්බර් මස විසි හත්වන දින දී ය
09771ce5bf,58355,මිහින්තලයද එසේම අඩි 350ක් උස,m,මිහින්තලය ද එසේ ම අඩි තුන්සිය පනහක් උස
0aae6dd410,2a1cd,එතුමා රුපියල් 500 දක්වා වැඩි කරන ලදී,m,එතුමා රුපියල් පන්සීයක් දක්වා වැඩි කරන ලදී
0b2ab04f96,d71b2,අඟහරුවාදා පූර්ව භාග 0940ට ලබයි,f,අඟහරුවාදා පූර්වභාග නමයයි හතළිහට ලබයි
0b70e9be70,8e991,සම්පත් 04 ක් ගැන කියැවේ,m,සම්පත් හතරක් ගැන කියවේ
0be9b9fe0d,75985,1964 දී ගැසට් කර ඇති මේ පූජනීය ස්ථානය කෙරෙහි,m,එක්දාස් නමසිය හැට හතරේ දී ගැසට් කර ඇති මේ පූජනීය ස්ථානය කෙරෙහි
0c306a1d56,912d1,සෙනසුරාදා අපරභාග 1156 ට ලබයි,f,සෙනසුරාදා අපරභාග එකොළහයි පනස් හයට ලබයි
0c92c3b8d0,4b1d7,1940 ජුනි මස 06 වන දින,m,එක්දාස් නමසිය හතළිහේ ජුනි මස හයවන දින
0d8d5fc6a1,936a6,1943 ජනවාරි 26 වෙනි දින මෙලොව එළිය ලැබීය,f,එක්දාස් නමසිය හතළිස් තුනේ ජනවාරි විසි හයවෙනි දින මෙලොව එළිය ලැබී ය
0d9fe479ec,3dd78,එය කාමර 105 කින් යුත්,m,එය කාමර එකසිය පහකින් යුත්
0e45173990,6996c,මුල් මාස 6 තුළ,m,මුල් මාස හය තුළ
0ed69c29e4,09bf2,අඟහරුවාදා පූර්ව භාග 0940ට ලබයි,f,අඟහරුවාදා පූර්වභාග නමයයි හතළිහට ලබයි
0f76946c22,1c3b9,භික්ෂූන් වහන්සේලා 203 නමක්,m,භික්ෂූන් වහන්සේලා දෙසිය තුන් නමක්
130f5a4e21,4a53b,මේ මස 15 වැනි දා රද්දොළුගම ශ්‍රී බෝධිමළුවේ දී,m,මේ මස පහළොස්වැනි දා රද්දොළුගම ශ්‍රී බෝධිමළුවේ දී
143ab43489,be341,අපර භාග 0641 ට ලබයි,m,අපරභාග හයයි හතළිස් එකට ලබයි
14950d9c20,2e893,ඇමරිකානු ඩොලර් බිලියන 50කට අධිකයි,m,ඇමරිකානු ඩොලර් බිලියන පනහකට අධිකයි
153541ab7a,9d5b3,බුද්ධත්වය ලබා සති 8කින් නැත්නම් මාස දෙකක් ඉක්මගිය පසුවය,f,බුද්ධත්වය ලබා සති අටකින් නැත්තන් මාස දෙකක් ඉක්ම ගිය පසුව ය
156cf8535e,0e86b,මෙම නිකාය ග්‍රන්ථ 5න් සුවිශේෂී කෘතියක්,f,මෙම නිකාය ග්‍රන්ථ පහෙන් සුවිශේෂී කෘතියක්
15985113c5,55ab9,ඉරිදා පූර්වභාග 0233 ට ලබයි,m,ඉරිදා පූර්වභාග දෙකයි තිස් තුනට ලබයි
1689eb7766,0bd84,විනාඩි 5 සිට පැය දක්වා දිවෙන බව,m,විනාඩි පහ සිට පැය දක්වා දිවෙන බව
176d176b89,babec,2012 වසර වන විට,m,දෙදාස් දොළහ වසර වන විට
17b8c110d5,fc710,බිලියන 2 කට අධික,f,බිලියන දෙකකට අධික
185e9832d9,e8ec1,ඉතිහාසයට මෙම වසරේ මැයි 15 වන,m,ඉතිහාසයට මෙම වසරේ මැයි පහළව
19363bcfa4,a742b,නාමමාත්‍රික වශයෙන් හෝ 1948 වසරේදි අප වෙත ලබා දීමයි,m,නාමමාත්‍රික වශයෙන් හෝ එක්දාස් නමසිය හතළිස් අට වසරේ දී අප වෙත ලබා දීම යි
1a07db63fe,8827b,පෙබරවාරි 29 වන දා,f,පෙබරවාරි විසි නමවන දා
1a30c03a88,3fcd4,මාර්තු 01 සෙනසුරාදා,f,මාර්තු එක සෙනසුරාදා
1a5c2adb7f,1a1f3,පැවැතිය යුතු උතුම් ගුණාංග 10 ක් විය,m,පැවතිය යුතු උතුම් ගුණාංග දහයක් විය
1c568a7da8,3be3a,මාර්තු මස 26 වැනිදා,m,මාර්තු මස විසි හයවැනි දා
1dc9c52188,c5a59,විනාඩි 5 සිට පැය දක්වා දිවෙන බව,m,විනාඩි පහේ සිට පැය දක්වා දිවෙන බව
20ca2ce794,e1e01,සෙනසුරාදා අපරභාග 919 ට ලබයි,f,සෙනසුරාදා අපරභාග නමයයි දහ නමයට ලබයි
222186171d,0e1e0,මීළඟ පෝය දෙසැම්බර් මස 27 වැනිදා බ්‍රහස්පතින්දා ය,f,මීළඟ පෝය දෙසැම්බර් මස විසි හත්වැනිදා බ්‍රහස්පතින්දා ය
224370b958,199c3,විස්සක් 20 පමණක් පිරිය යුතු වේ,f,විස්සක් විස්ස පමණක් පිරිය යුතු වේ
225a8daf1d,df38e,ඇමරිකානු ඩොලර් බිලියන 50කට අධිකයි,f,ඇමරිකානු ඩොලර් බිලියන පනහකට අධිකයි
2274686603,3fa09,අඟහරුවාදා අපරභාග 0422 ට ලබයි,m,අඟහරුවාදා අපරභාග හතරයි විසි දෙකට ලබයි
22eccf4a71,78366,1964 දී ගැසට් කර ඇති මේ පූජනීය ස්ථානය කෙරෙහි,m,එක්දාස් නමසිය හැට හතරේ දී ගැසට් කර ඇති මේ පූජනීය ස්ථානය කෙරෙහි
23e5a7eaa9,abbea,එනම් 1අඤ්ඤදත්ථු හර,m,එනම් එක අඤ්ඤදත්ථුහර
2447d0a5b6,0a2fe,බදාදා 0539 ට ලබයි,m,බදාදා පහයි තිස් නමයට ලබයි
253a977a42,be485,සෙනසුරාදා අපරභාග 1156 ට ලබයි,f,සෙනසුරාදා අපරභාග එකොළහයි පනස් හයට ලබයි
255e4b80cc,c8454,පැය 4 ක් පාගමනින් ගොස්,f,පැය හතරක් පාගමනින් ගොස්
284ce89dc8,a9c56,මීළඟ පෝය දෙසැම්බර් 20 වැනි බ්‍රහස්පතින්දා ය,f,මීළඟ පෝය දෙසැම්බර් විසිවෙනි බ්‍රහස්පතින්දා ය
2933bbca4d,02f82,එතුමා රුපියල් 500 දක්වා වැඩි කරන ලදී,m,එතුමා රුපියල් පන්සීය දක්වා වැඩි කරන ලදී
2934918809,95423,දැනට වර්ෂ 13 කට පමණ පෙර,f,දැනට වර්ෂ දහ තුනකට පමණ පෙර
29c5e8b458,0e86b,මීළඟ පෝය ජූලි මස 14 වනදා බ්‍රහස්පතින්දා ය,f,මීළඟ පෝය ජුලි මස දාහතරවන දා බ්‍රහස්පතින්දා ය
2a56a4a08b,1ccf9,රද්දොළුගම 20130415 දින හදිසියේ අභාවප්‍රාප්ත වූ,m,රද්දොළුගම දෙදාස් දහ තුනයි හතරයි පහළව දින හදිසියේ අභාවප්‍රාප්ත වූ
2a9f409157,fb100,මෙය ක්‍රිව 1347 දී,f,මෙය ක්‍රිස්තු වර්ෂ එක්දාස් තුන්සිය හතළිස් හතේ දී
2ab74ceedf,06105,මීළඟ පෝය අගෝස්තු 09 වන දා බ්‍රහස්පතින්දා ය,f,මීළඟ පෝය අගෝස්තු නමවන දා බ්‍රහස්පතින්දා ය
2b39d5df75,78366,අපර භාග 0753 දක්වා පෝය පවතී,m,අපරභාග හතයි පනස් තුන දක්වා පෝය පවතී
2beb37c019,e42fe,මීළඟ පෝය සැප්තැම්බර් 20 වන දා අඟහරුවාදා ය,f,මීළඟ පෝය සැප්තැම්බර් විසිවන දා අඟහරුවාදා ය
2c15734f09,a4315,එතුමන් වර්ෂ 1930 දී,f,එතුමන් වර්ෂ එක්දාස් නමසිය තිහේ දී
2c175fac2e,0fcb7,3 වැනි ධර්ම සංගායනාව සිදු වූයේ,m,තුන්වැනි ධර්ම සංගායනාව සිදු වූයේ
2c2ca21601,2e893,අප්‍රේල් 13 වැනිදා සිකුරාදා පූර්ව භාග 0451 ට ලබයි,m,අප්‍රේල් දහ තුන්වෙනි දා සිකුරාදා පූර්වභාග හතරයි පනස් එකට ලබයි
2ce6aaba04,dff99,පැන නගින ඇතැම් ගැටලු 100 ක් පිළිබඳව,f,පැන නඟින ඇතැම් ගැටලු සීයක් පිළිබඳ ව
2e978d61f7,4801b,ධර්‍මාශෝක රජතුමා ඔටුනු පැළඳීමෙන් 18 වන වර්ෂයෙහිදී,f,ධර්මාශෝක රජතුමා ඔටුනු පැළඳීමෙන් දහ අටවන වර්ෂයෙහි දී
2f20209b3c,8e63d,බුද්ධ වර්ෂ 385 දී පමණ ය,f,බුද්ධ වර්ෂ තුන්සිය අසූ පහේ දී පමණ ය
2fcb82a96b,4b215,රද්දොළුගම 20130415 දින හදිසියේ අභාවප්‍රාප්ත වූ,f,රද්දොළුගම දෙදාස් දහ තුනේ හතරයි පහළොස්වන දින හදිසියේ අභාවප්‍රාප්ත වූ
30158cb5af,6fa50,මාර්තු 01 වන දා බ්‍රහස්පතින්දා,f,මාර්තු පළවන දා බ්‍රහස්පතින්දා
302aa7d3ec,0b586,අනෙක් අතට පික්සල් 1080ක්ද ඇත,f,අනෙක් අතට පික්සල් එක්දාස් අසූවක් ද ඇත
310c71bb87,ddb8f,මීළඟ පෝය දෙසැම්බර් මස 27 වැනිදා බ්‍රහස්පතින්දා ය,f,මීළඟ පෝය දෙසැම්බර් මස විසි හත්වෙනි දා බ්‍රහස්පතින්දා ය
31d4b73726,05d76,19631123 වෙනි දින,f,එක්දහස් නවසිය හැට තුන එකොළහයි විසි තුන්වෙනි දින
31e117d02c,3d027,1961 චින්තක සඟරාවේ,f,එක්දාස් නමසිය හැට එකේ චින්තක සඟරාවේ
3299208c55,0e375,2012 වසර වන විට,m,දෙදහස් දොළහ වසර වන විට
32e78a22ca,45f15,අක්කර 8 ක පමණ භූමි ප්‍රමාණයක් වසා,f,අක්කර අටක පමණ භූමි ප්‍රමාණයක් වසා
352d935d44,5a51f,පූර්ව භාග 0150 ට ලබයි,f,පූර්වභාග එකයි පනහට ලබයි
35d45ea60d,456e2,2009 දෙසැම්බර් මාසයේදී,m,දෙදාස් නමයේ දෙසැම්බර් මාසයේ දී
3603a4cdfe,e61f1,ක්‍රිපූ 6 වැනි සියවසේ ය,f,ක්‍රිස්තු පූර්ව හයවැනි සියවසේ ය
37ef910c9e,bb0e6,ශිලාලිපි 1276 ක එකතුවක් පළකර ඇත,f,ශිලා ලිපි එක්දාස් දෙසිය හැත්ත හයක එකතුවක් පළ කර ඇත
38eb445e44,f2931,මුහුදු මට්ටමටත් වඩා මීටර් 418ක් පහළින් පිහිටි,m,මුහුදු මට්ටමටත් වඩා මීටර් හාරසිය දහ අටක් පහළින් පිහිටි
38f51660ab,39cc4,මුල් පියවර 04 අසාර්ථක වූ විට,f,මුල් පියවර හතර අසාර්ථක වූ විට
39c51efecb,3a976,සියයට 2530 අතර වේගය අතින් ඉදිරියෙන් සිටින බවටයි,m,සියයට විසි පහයි තිහයි අතර වේගයෙන් ඉදිරියෙන් සිටින බවටයි
3a8810bc2a,32337,1818 දී උඩරට කැරැල්ල හට ගැනීමයි,m,එක්දාස් අටසිය දහ අටේ දී උඩරට කැරැල්ල හට ගැනීමයි
3d91933776,91403,ජුනි 7 වනදා ඉරිදාය,m,ජූනි හත්වන දා ඉරිදා ය
4006006787,0fcb7,සහල් කිලෝ ග්‍රෑම් 03 ක් පමණ,m,සහල් කිලෝග්‍රෑම් තුනක් පමණ
407c5c3128,e0b70,එබඳු දක්‍ෂතා 03 ක් පිළිබඳව,f,එබඳු දක්ෂතා තුනක් පිළිබඳ ව
40ccbbd793,f0169,මාර්තු මස 23 වැනිදා,f,මාර්තු මස විසි තුන්වැනි දා
40dbe79fa5,a4315,බුද්ධත්වය ලබා සති 8කින් නැත්නම් මාස දෙකක් ඉක්මගිය පසුවය,f,බුද්ධත්වය ලබා සති අටකින් නැත්නම් මාස දෙකක් ඉක්ම ගිය පසුව ය
41824273b9,89830,මීළඟ පෝය දෙසැම්බර් 06 වැනි දා බ්‍රහස්පතින්දා ය,f,මීළඟ පෝය දෙසැම්බර් හයවැනි දා බ්‍රහස්පතින්දා ය
420251e9f9,a5886,මීළඟ පෝය ජූනි 19 වැනි දා බ්‍රහස්පතින්දාය,m,මීළඟ පෝය ජූනි දහ නමවැනි දා බ්‍රහස්පතින්දා ය
426df4d20b,60906,1 2 3 4 5 යන පිළිතුරු වලින්,f,එක දෙක තුන හතර පහ යන පිළිතුරුවලින්
431dbc8f91,206b6,මීළඟ පෝය සැප්තැම්බර් 29 වැනි දා සෙනසුරාදා ය,f,මීළඟ පෝය සැප්තැම්බර් විසි නමවැනි දා සෙනසුරාදා ය
4373e78ef7,8e63d,මාර්තු මස 23 වැනිදා,f,මාර්තු මස විසි තුන්වැනි දා
4565c2ea45,e5fb8,ක්‍රිව 02 වැනි සියවසේ දී,m,ක්‍රිස්තු වර්ෂ දෙවෙනි සියවසේ දී
45c93ba660,1575e,1964 දී ගැසට් කර ඇති මේ පූජනීය ස්ථානය කෙරෙහි,f,එක්දාස් නමසිය හැට හතරේ දී ගැසට් කර ඇති මේ පූජනීය ස්ථානය කෙරෙහි
45ed68f492,25717,මංගල කරුණු 38 ටද,m,මංගල කරුණු තිස් අටට ද
4659152e54,ab81c,මාර්තු මස 08 වැනිදා,f,මාර්තු මස අටවැනි දා
4767acd51d,8e63d,මීළඟ පෝය නොවැම්බර් 24 වනදා බ්‍රහස්පතින්දාය,f,මීළඟ පෝය නොවැම්බර් විසි හතරවන දා බ්‍රහස්පතින්දා ය
4a32e19c6a,b8589,අඩි 1 අඟල් 8 ක් උසැති,f,අඩි එකයි අඟල් අටක් උසැති
4a4a61f77e,937dc,මහා නිරයන් 08 හි,f,මහා නිරයන් අටෙහි
4b1f0d10ea,b9dc2,ජුනි මස 04 වැනි දින,f,ජුනි මස හතරවැනි දින
4b31a508ec,4f3cd,1964 අගෝස්තු 9 වැනිදා,m,එක්දාස් නමසිය හැට හතරේ අගෝස්තු නමවැනි දා
4d81843efd,271cb,මීළඟ පෝය පෙබරවාරි 06 වැනි දා බ්‍රහස්පතින්දාය,m,මීළඟ පෝය පෙබරවාරි හයවෙනි දා බ්‍රහස්පතින්දා ය
4dd5d2eeb0,8b124,අඟහරුවාදා පූර්ව භාග 0940ට ලබයි,f,අඟහරුවාදා පූර්වභාග නමයයි හතළිහට ලබයි
4df6482682,a7d05,ලෝකෝත්තර මාර්ග සිත් 04 යි,f,ලෝකෝත්තර මාර්ග සිත් හතරයි
4ef7af8eb6,2d52b,අඟහරුවාදා අපරභාග 0422 ට ලබයි,f,අඟහරුවාදා අපරභාග හතරයි විසි දෙකට ලබයි
5038690be3,1575e,2012 වසර වන විට,f,දෙදාස් දොළහ වසර වන විට
519dcd6eb3,15cf5,මීළඟ පෝය නොවැම්බර් 06 වැනිදා අඟහරුවාදා ය,f,මීළඟ පෝය නොවැම්බර් හයවැනි දා අඟහරුවාදා ය
51e2b58b5b,409ee,එම බත කොටස් 3 කට බෙදී,m,එම බත කොටස් තුනකට බෙදී
5238e718e9,02f82,පෙරහර 12 ක් ගමන් කිරීමෙන් පසුවයි,m,පෙරහැර දොළහක් ගමන් කිරීමෙන් පසුවයි
5256ceb725,ffa9f,පෙබරවාරි 29 වන දා,f,පෙබරවාරි විසි නමවන දා
5271403c39,b7163,2004 දෙසැම්බර් 26 වැනි දා,f,දෙදාස් හතරේ දෙසැම්බර් විසි හයවැනි දා
53f415c8e4,d2f72,මාර්තු 07 වැනි දා බදාදා,m,මාර්තු හත්වෙනි දා බදාදා
5508e38948,a4315,සක්මනේ 20 වෙනි දැක්මයි මේ,f,සක්මනේ විසිවෙනි දැක්මයි මේ
0da84e4a6d,55ab9,දේවාල පෙරහර 04 ද ගමන් කරනු ලබයි,m,දේවාල පෙරහැර හතර දා ගමන් කරනු ලබයි
2d37e6b90a,effa6,1955 සැප්තැම්බර් 21 වැනිදා අපවත්වී වදාළහ,m,එක්දාස් නමසිය පනස් පහේ සැප්තැම්බර් විසි එක වැනි දා අපවත්වී වදාළහ
38e3314af7,f9563,බුද්ධ වර්ෂ 385 දී පමණ ය,m,බුද්ධ වර්ෂ තුන්සිය අසූ පහ දී පමණ ය
39e7fa70f5,a7708,මාර්තු 02 දින,m,මාර්තු දෙක දින
410242d529,462e8,අවසානයේ 390 වන අපදානය හැටියට,f,අවසානයේ තුන්සිය අනූව වන අපදානය හැටියට
45f78b9e4d,dd43a,ඉතිහාසයට මෙම වසරේ මැයි 15 වන,m,ඉතිහාසයට මෙම වසරේ මැයි පහළව වන
5480b67d92,4b1d7,සැප්තැම්බර් මස 22 වැනි දා සෙනසුරාදා,m,සැප්තැම්බර් මස විසි දෙක වැනි දා සෙනසුරාදා
16c37bf7ab,d945d,2012 වසර වන විට,m,දෙදාස් දොළහ වසර වන විට
