utterance_id,speaker_id,utterance,gender,utterance_corrected
7602bf3e60,81570,1905 තරම් වූ වකවානුවක,f,එක්දාස් නමසිය පහ තරම් වු වකවානුවක
76a8eb7280,02b89,මෙම දරුවා උපත ලැබුයේ 1965 ජනවාරි 9 වෙනිදාය,m,මෙම දරුවා උපත ලැබූයේ එක්දාස් නමසිය හැට පහේ ජනවාරි නමවෙනි දා ය
76da0c1a37,53c73,මාර්තු 07 වැනි දා බදාදා,m,මාර්තු හත්වැනි දා බදාදා
76f7a50218,effa6,මීළඟ පෝය අගෝස්තු මස 06 වැනිදා අඟහරුවාදාය,m,මීළඟ පෝය අගෝස්තු මස හයවැනි දා අඟහරුවාදා ය
774b3e0dcf,b3dda,පූර්ව භාග 841 ට ලබයි,f,පූර්ව භාග අටයි හතළිස් එකට ලබයි
77598e2b7d,ddb8f,අඩි 80 පමණ උසයි,f,අඩි අසූව පමණ උසයි
785f952304,bb0e6,පැය 4 ක් පාගමනින් ගොස්,f,පැය හතරක් පාගමනින් ගොස්
788f3dfcf1,d316f,බුද්ධත්වයෙන් වසර 5 කට පසුව,f,බුද්ධත්වයෙන් වසර පහකට පසුව
79688ac58f,6054f,එම සූත්‍ර 186 ම,f,එම සූත්‍ර එකසිය අසූ හයම
79e8a5aaa5,a4315,ඉතාමත් කුඩා ඇමුණුම් 2කිනි,f,ඉතාමත් කුඩා ඇමුණුම් දෙකකි නි
7a180abf11,a9c56,වර්තමාන ස්තූපයේ උස අඩි 192 කි,f,වර්තමාන ස්තූපයේ උස අඩි එකසිය අනූ දෙකකි
7a8e71475c,8af52,අවුරුදු 45 ක තොරතුරු ජාතක හා සූත්‍ර හැඳින්වීම්වලද,f,අවුරුදු හත්ළිස් පහක තොරතුරු ජාතක හා සූත්‍ර හැඳින්වීම් වලද
7ab1879978,be485,මෙම පදනම බිහිවූයේ 1994 ජනවාරි 12 වැනිදා ය,f,මෙම පදනම බිහිවූයේ එකදහස් නමසිය අනූ හතර ජනවාරි දොළොස් වැනිදා ය
7abefebd61,ec9a8,අපරභාග 0134 දක්වා පෝය පවතී,f,අපරභාග එකයි තිස් හතර දක්වා පෝය පවතී
7aeafce856,6c5e8,බදාදා 0539 ට ලබයි,m,බදාදා පහයි තිස් නමයට ලබයි
7db709a01c,f40d9,මාර්තු මස 23 වැනිදා,m,මාර්තු මස විසි තුන් වැනිදා
7def5407ea,30661,එක් කොටසකට සිත් 8 බැගින්,f,එක් කොටසකට සිත් අට බැගින්
7e5977594f,0184c,ඉතිහාසයට මෙම වසරේ මැයි 15 වන,f,ඉතිහාසයට මෙම වසරේ මැයි පහළොස් වන
7ea38f313e,be173,අද එම ගාථා 1000 නැත,f,අද එම ගාථා දාහ නැත
7ec7c1df66,237ce,1983 වර්ෂය පමණ වන විට,f,එකදාස් නමසිය අසූ තුන වර්ෂය පමණ වන විට
7ecb70637c,9125c,අඩි 11 අඟල් 4 ක් උස,f,අඩි එකොළහයි අඟල් හතරක් උස
7f014f5842,05d76,මාර්තු මස 23 වැනිදා,f,මාර්තු මස විසි තුන් වැනිදා
7f991881bd,c696a,6 ශ්‍රේණියේ සිට ඉහළට,m,හය ශ්‍රේණියේ සිට ඉහළට
8000ff0b87,55c20,සෙනසුරාදා අපරභාග 919 ට ලබයි,m,සෙනසුරාදා අපරභාග නමයයි දහනමයට ලබයි
801364662c,88a58,මෙම වග්ගයේ සූත්‍ර 24 කින් කායගතාසතිය වැඩීම,f,මෙම වග්ගයේ සූත්‍ර විසි හතකින් කායගතාසතිය වැඩීම
80882ba9fe,2d52b,1943 ජනවාරි 26 වෙනි දින මෙලොව එළිය ලැබීය,f,එක් දහස් නමසිය හතළිස් තුනේ ජනවාරි විසි හයවෙනි දින මෙලොව එළිය ලැබීය
81370d00fb,91fdf,සූත්‍ර පිටකය නැවත ප්‍රධාන කොටස් 05කට,f,සූත්‍ර පිටකය නැවත ප්‍රධාන කොටස් පහකට
81c68fb468,fb100,පෙබරවාරි මස 14 දා,f,පෙබරවාරි මස දාහතර දා
8225c6f11e,c8784,එනම් වර්ෂ 1890 දී,f,එනම් වර්ෂ එක්දාස් අටසිය අනූවේ දී
8333b5d807,646e1,අපහාස නොකළ යුතුය,f,අපහාස නොකළ යුතුය
83a6d38cec,23e9e,කැඩී බිඳී ශේෂව ගිය නටබුන් අක්කර 12 ක පමණ,f,කැඩී බිඳී ශේෂවි ගිය නටබුන් අක්කර දොළහක පමණ
83b39f5b1b,c26e2,අඟහරුවාදා අපරභාග 1123 ට ලබයි,f,අඟහරුවාදා අපරභාග එකොළහයි විසි තුනට ලබයි
843049e3a8,8af52,මීළඟ පෝය දෙසැම්බර් 06 වැනි දා බ්‍රහස්පතින්දා ය,f,මීළඟ පෝය දෙසැම්බර් හය වැනි බ්‍රහස්පතින්දා ය
84f7dd8c52,0b370,වර්ෂ 2500 සපිරීමේ,m,වර්ෂ දෙදාස් පන්සීය සපිරීමේ
859cbd855a,5afae,බිලියන 2 කට අධික,f,බිලියන දෙකකට අධික
85a635154f,1575e,මීළඟ පෝය ඔක්තෝබර් 25 වන දා බ්‍රහස්පතින්දා ය,f,මීළඟ පෝය ඔක්තෝබර් විසි පස්වන දා බ්‍රහස්පතින්දා ය
861bfd5a15,f3efc,මීට අමතරව කාම ලෝක 11 ට අයත් දිව්‍ය ලෝකවල,f,මීට අමතරව කාම ලෝක එකොළහට අයත් දිව්‍ය ලෝකවල
86a58e045e,4f068,සැප්තැම්බර් මස 22 වැනි දා සෙනසුරාදා,f,සැප්තැම්බර් මස විසි දෙවැනි දා සෙනසුරාදා
86cf2b3d43,babec,6 ශ්‍රේණියේ සිට ඉහළට,m,හය ශ්‍රේණියේ සිට ඉහළට
87ff92f694,45f15,සිහිපත් කරනවා නම් 1,f,සිහිපත් කරනවා නම් එක
886a626f10,0b586,මීළඟ පෝය දෙසැම්බර් මස 27 වැනිදා බ්‍රහස්පතින්දා ය,f,මීළඟ පෝය දෙසැම්බර් මස විසි හත්වැනිදා බ්‍රහස්පතින්දා ය
890df38baa,045af,අප්‍රේල් මාසයේ 13 හෝ 14,f,අප්‍රේල් මාසයේ දහතුන හෝ දාහතර
8970bc1f5e,1afa7,ඒවා වර්ග 26 කට ගොනු,m,ඒවා වර්ග විසි හයකට ගොනු
898987f449,89130,එදිනම අපරභාග 1007 දක්වා,f,එදිනම අපරභාග දහයයි හත දක්වා
89a91d43c2,2bc1e,අවුරුදු 18 ක් බව නිකාය සංග්‍රහයේ සඳහන් වේ,f,අවුරුදු දහඅටක් බව නිකාය සංග්‍රහයේ සඳහන් වේ
8c6e955e15,f9563,ඉරිදා අපරභාග 810 ට ලබයි,m,ඉරිදා අපරභාග අටයි දහයට ලබයි
8d00de302f,51515,1943 ජනවාරි 26 වෙනි දින මෙලොව එළිය ලැබීය,m,එක්දාස් නමසිය හත්ළිස් තුන ජනවාරි විසි හයවෙනි දින මෙලොව එළිය ලැබීය
8d099118a1,c26e2,සම්පත් 04 ක් ගැන කියැවේ,f,සම්පත් හතරක් ගැන කියැවේ
8d12379d59,d1b3d,මාර්තු මස 08 වැනිදා,f,මාර්තු මස අට වැනිදා
8d7cd6c9b6,0184c,මෙම 25 වන දා,f,මෙම විසි පස්වන දා
8e55d363ce,9e6d1,ඒවා වර්ග 26 කට ගොනු,m,ඒවා වර්ග විසි හයකට ගොනු
8e7d948e9f,e8ec1,මහා නිරයන් 08 හි,m,මහා නිරයන් අටහි
8ef226af7e,23c9f,81 වැනි වරටත්,m,අසූ එක වැනි වරටත්
8ef7c0b3f5,c28da,සෙනසුරාදා අපරභාග 919 ට ලබයි,m,සෙනසුරාදා අපරභාග නමයයි දහනමයට ලබයි
8f90951be8,bae1a,මුහුදු මට්ටමටත් වඩා මීටර් 418ක් පහළින් පිහිටි,m,මුහුදු මට්ටමටත් වඩා මීටර් හාරසිය දහඅටක් පහළින් පිහිටි
8f95a11ae9,4e81e,රුපියල් 1825 දක්වා ප්‍රමාණයක් වැඩිවේ,f,රුපියල් එක්දාස් අටසිය විසි පහ දක්වා ප්‍රමාණයක් වැඩිවේ
907f335484,a624d,අපරභාග 0134 දක්වා පෝය පවතී,m,අපරභාග එකයි තිස් හතර දක්වා පෝය පවතී
915f9d87ea,6c5e8,එමෙන්ම 1994 සිට ගිහි පැවිදි විද්වතුන්ගේ,m,එමෙන්ම එක්දාස් නමසිය අනූ හතරේ සිට ගිහි පැවිදි විද්වතුන්ගේ
9182d178b9,309ce,12 වන සියවසේ රචිත අමාවතුර ගද්‍ය කාව්‍යයේ දැක්වේ,m,දොළොස්වන සියවසේ රචිත අමාවතුර ගද්‍ය කාව්‍යයේ දැක්වේ
91e9322866,d6ab0,කොළ 40 ක් ගනු ලබනවා,f,කොළ හතළිහක් ගනු ලබනවා
92a788180a,016b5,ජුනි 7 වනදා ඉරිදාය,f,ජූනි හත් වනදා ඉරිදා ය
930bf4b435,b06d1,සියවස් 5 කට පසුව,m,සියවස් පහකට පසුව
936868d71c,d4fa9,1905 තරම් වූ වකවානුවක,f,එක්දාස් නමසිය පහ තරම් වූ වකවානුවක
94650b72d0,c6f6b,මාර්තු මස 08 වැනිදා,f,මාර්තු මස අට වැනිදා
95e870a700,6b5e6,එකී ආසන ක්‍රමයෙන් නිරූපිත මුද්‍රාව වන්නේ 1,m,එකී ආසන ක්‍රමයෙන් නිරූපිත මුද්‍රාව වන්නේ එක
95fca9bd4b,9094b,1940 ජුනි මස 06 වන දින,f,එක්දාස් නමසිය හතළිහ ජුනි මස හයවන දින
972f2e12c5,64af4,බක් අමාවක පෝය අප්‍රේල් 24 වන දා සිකුරාදා පූර්ව භාග 1048 ට ලබයි,m,බක් අමාවක පෝය අප්‍රේල් විසි හතරවන දා සිකුරාදා පූර්ව භාග දහයයි හතළිස් අටට ලබයි
9768e6654b,f200a,පසුගිය 22 දා වීථි සංචාරය කෙරිණි,m,පසුගිය විසි දෙක දා වීථි සංචාරය කෙරිණි
97755e4586,4801b,එවන් ගාථා 423 ක්,f,එවන් ගාථා හාරසිය විසි තුනක්
97c2c70664,ae3ff,නාමමාත්‍රික වශයෙන් හෝ 1948 වසරේදි අප වෙත ලබා දීමයි,m,නාමමාත්‍රික වශයෙන් හෝ එක්දාස් නමසිය හතළිස් අට වසරේදි අප වෙත ලබා දීමයි
98ce602b0c,b8589,මෙම පිළිම 4 න් නැගෙනහිර දිශාවට මුහුණ ලා ඇති පිළිමය,f,මෙම පිළිම හතරෙන් නැගෙනහිර දිශාවට මුහුණ ලා ඇති පිළිමය
99868518c5,bba51,මූල පණ්ණාසකය සූත්‍ර 50 කින් යුක්ත වේ,m,මූල පණ්ණාසකය සූත්‍ර පනහකින් යුක්ත වේ
9a690d5ec4,b8a97,පැවැතිය යුතු උතුම් ගුණාංග 10 ක් විය,f,පැවැතිය යුතු උතුම් ගුණාංග දහයක් විය
9be2e58fc3,ee9b8,උසින් අඩි 44 ක් පමණ වන ඡුක්ඛන්දී ස්ථූපය,m,උසින් අඩි හතළිස් හතරක් ක් පමණ වන ඡුක්ඛන්දී ස්ථූපය
9c04e985c6,3fcd4,උසින් අඩි 34 ක් පමණ වන,f,උසින් අඩි තිස් හතරක් පමණ වන
9c3adcc6a7,1a1f3,උසින් අඩි 34 ක් පමණ වන,m,උඩින් අඩි තිස් හතරක් පමණ වන
9d7af13998,9e6d1,1854 නොවැම්බර් මස 27වන දිනදීය,m,එක්දාස් අටසිය පනස් හතර නොවැම්බර් මස විසි හත්වන දින දී ය
9ddf49d258,dd6f8,නම් එම භික්ෂුව1,m,නම් එම භික්ෂුව එක
9df1fb67e6,7b332,එබඳු දක්ෂතා 03 ක් පිළිබඳව,m,එබඳු දක්ෂතා තුනක් පිළිබඳව
9e4204eb21,09537,මාර්තු මස 19 වැනි දා,f,මාර්තු මස දහනමවැනි දා
9ec87a101e,290a8,ඉතාමත් කුඩා ඇමුණුම් 2කිනි,m,ඉතාමත් කුඩා ඇමුණුම් දෙකකි නි
9f00675bff,c26ed,පැය 8ක් පමණ වන බවයි,f,පැය අටක් පමණ වන බවයි
9f45585c1e,be843,මීළඟ පෝය ඔක්තෝබර් මස 18 වෙනිදා සිකුරාදා ය,m,මීළඟ පෝය ඔක්තෝබර් මස දහඅට වෙනිදා සිකුරාදා ය
9f88965f9d,d2f72,1915 දෙසැම්බර් 31 වනදා පින්වත්,m,එක්දාස් නමසිය පහළොව දෙසැම්බර් තිස් එක වනදා පින්වත්
a0d35e9e38,b3777,මීළඟ පෝය සැප්තැම්බර් 29 වැනි දා සෙනසුරාදා ය,m,මීළඟ පෝය සැප්තැම්බර් විසි නමවැනි දා සෙනසුරාදා ය
a0da7bc7a9,0e353,එබැවින් 2013 වසර තුළ,m,එබැවින් දෙදාස් දහතුන වසර තුළ
a17767f20b,c094f,මෙම 25 වන දා,m,මෙම විසි පස්වන දා
a1f40a7226,25717,එවකට මෙහි උස අඩි 400 ක් පමණ වන බව සඳහන් වේ,m,එවකට මෙහි උස අඩි හාරසීයක් පමණ වන බව සඳහන් වේ
a2ba00c631,a3fac,මීළඟ පෝය අප්‍රේල් මස 18 වැනිදා බ්‍රහස්පතින්දා ය,f,මීළඟ පෝය අප්‍රේල් මස දහඅට වැනිදා බ්‍රහස්පතින්දා ය
a2f80d1ee1,b3a0c,බිලියන 2 කට අධික,f,බිලියන දෙකකට අධික
a3e4caee89,3062b,මෙම පෙරහර 1907 වනතෙක්ම දුරුතු මසදී පැවැත්වූ,m,මෙම පෙරහැර එක්දහස් නමසිය හත වනතෙක්ම දුරුතු මසදී පැවැත්වූ
