utterance_id,speaker_id,utterance,gender
5c5d7d06d5,0e353,1964 දී ගැසට් කර ඇති මේ පූජනීය ස්ථානය කෙරෙහි,m
7ec7c1df66,237ce,1983 වර්ෂය පමණ වන විට,f
a9950ac7a6,6b5e6,2003 දී ඒවා නිම කළහ,m
5271403c39,b7163,2004 දෙසැම්බර් 26 වැනි දා,f
35d45ea60d,456e2,2009 දෙසැම්බර් මාසයේදී,m
dc19b4a2c1,8c558,2011 වසරේදී මුදා හැර ඇති,f
176d176b89,babec,2012 වසර වන විට,m
16c37bf7ab,d945d,2012 වසර වන විට,m
f5f19ed6f2,39cc4,2012 වසර වන විට,f
5038690be3,1575e,2012 වසර වන විට,f
3299208c55,0e375,2012 වසර වන විට,m
2c175fac2e,0fcb7,3 වැනි ධර්ම සංගායනාව සිදු වූයේ,m
86cf2b3d43,babec,6 ශ්රේණියේ සිට ඉහළට,m
7f991881bd,c696a,6 ශ්රේණියේ සිට ඉහළට,m
02478a3f8a,c1715,7 2 කෘතියෙහි 338 පිටුවෙහි ය,m
8ef226af7e,23c9f,81 වැනි වරටත්,m
bb07298eca,7f4b1,අක්කර 8 ක පමණ භූමි ප්රමාණයක් වසා,f
c572166bdf,88a58,අක්කර 8 ක පමණ භූමි ප්රමාණයක් වසා,f
32e78a22ca,45f15,අක්කර 8 ක පමණ භූමි ප්රමාණයක් වසා,f
4ef7af8eb6,2d52b,අඟහරුවාදා අපරභාග 0422 ට ලබයි,f
2274686603,3fa09,අඟහරුවාදා අපරභාග 0422 ට ලබයි,m
83b39f5b1b,c26e2,අඟහරුවාදා අපරභාග 1123 ට ලබයි,f
0b2ab04f96,d71b2,අඟහරුවාදා පූර්ව භාග 0940ට ලබයි,f
4dd5d2eeb0,8b124,අඟහරුවාදා පූර්ව භාග 0940ට ලබයි,f
0ed69c29e4,09bf2,අඟහරුවාදා පූර්ව භාග 0940ට ලබයි,f
04269c37b9,91403,අඩි 1 අඟල් 8 ක් උසැති,m
4a32e19c6a,b8589,අඩි 1 අඟල් 8 ක් උසැති,f
7ecb70637c,9125c,අඩි 11 අඟල් 4 ක් උස,f
a9e340b2d0,b796c,අඩි 60 ක උසකින් සමන්විත වන අතර,m
77598e2b7d,ddb8f,අඩි 80 පමණ උසයි,f
7ea38f313e,be173,අද එම ගාථා 1000 නැත,f
546e359a9c,cf582,අනෙක් අතට පික්සල් 1080ක්ද ඇත,m
302aa7d3ec,0b586,අනෙක් අතට පික්සල් 1080ක්ද ඇත,f
143ab43489,be341,අපර භාග 0641 ට ලබයි,m
2a3b75b837,70278,අපර භාග 0641 ට ලබයි,f
2b39d5df75,78366,අපර භාග 0753 දක්වා පෝය පවතී,m
cdda3c7ba0,7ba10,අපර භාග 0753 දක්වා පෝය පවතී,m
b983551aec,5b275,අපර භාග 626 ට ලබයි,f
c0b78bcb80,501f8,අපර භාග 626 ට ලබයි,f
7abefebd61,ec9a8,අපරභාග 0134 දක්වා පෝය පවතී,f
907f335484,a624d,අපරභාග 0134 දක්වා පෝය පවතී,m
a55650bc02,dca20,අපරභාග 0138 දක්වා පෝය පවතී,m
7466467dc4,7d7d0,අපරභාග 0212 ට ලබයි,f
264c24e140,cd0b3,අපරභාග 0549 ට ලබයි,m
0437ee4c2f,ee066,අපහාස නොකළ යුතුය3,m
8333b5d807,646e1,අපහාස නොකළ යුතුය3,f
05ccb06518,1575e,අප්රේල් 13 වැනිදා සිකුරාදා පූර්ව භාග 0451 ට ලබයි,f
2c2ca21601,2e893,අප්රේල් 13 වැනිදා සිකුරාදා පූර්ව භාග 0451 ට ලබයි,m
890df38baa,045af,අප්රේල් මාසයේ 13 හෝ 14,f
ac021a8ce9,72b54,අප්රේල් මාසයේ 13 හෝ 14,f
edcf485af0,be341,අයවර්ෂ 136 ආෂාඪ මාසයේ,m
410242d529,462e8,අවසානයේ 390 වන අපදානය හැටියට,f
b728a1092b,d4430,අවුරුදු 18 ක් බව නිකාය සංග්රහයේ සඳහන් වේ,m
89a91d43c2,2bc1e,අවුරුදු 18 ක් බව නිකාය සංග්රහයේ සඳහන් වේ,f
c7b1d9a938,6fa50,අවුරුදු 18 ක් බව නිකාය සංග්රහයේ සඳහන් වේ,f
7a8e71475c,8af52,අවුරුදු 45 ක තොරතුරු ජාතක හා සූත්ර හැඳින්වීම්වලද,f
e7d3758d51,78366,අසූමහා ශ්රාවක නාම ලේඛනයේ දී 8 වන ස්ථානයට සඳහන් ය,m
c88abcaebf,0a38f,ආවාස කුටි 60 ක් ඉදි විය,f
ace1f654fa,f0098,ඇතිවන මරණය 4,m
ea1eff5d11,3eb66,ඇතිවන මරණය 4,f
225a8daf1d,df38e,ඇමරිකානු ඩොලර් බිලියන 50කට අධිකයි,f
14950d9c20,2e893,ඇමරිකානු ඩොලර් බිලියන 50කට අධිකයි,m
2a274d2739,0224d,ඉකුත් 01 වැනි දා සිට 08 වැනි දා දක්වා පැවැත්වේ,m
a8a71fe1a8,c696a,ඉකුත් 01 වැනි දා සිට 08 වැනි දා දක්වා පැවැත්වේ,m
79e8a5aaa5,a4315,ඉතාමත් කුඩා ඇමුණුම් 2කිනි,f
9ec87a101e,290a8,ඉතාමත් කුඩා ඇමුණුම් 2කිනි,m
faead7b48b,1b014,ඉතාමත් කුඩා ඇමුණුම් 2කිනි,m
b20f8cb593,03b7a,ඉතාමත් කුඩා ඇමුණුම් 2කිනි,m
45f78b9e4d,dd43a,ඉතිහාසයට මෙම වසරේ මැයි 15 වන,m
7e5977594f,0184c,ඉතිහාසයට මෙම වසරේ මැයි 15 වන,f
185e9832d9,e8ec1,ඉතිහාසයට මෙම වසරේ මැයි 15 වන,m
0027e2e160,60ae5,ඉරිදා අපරභාග 810 ට ලබයි,m
8c6e955e15,f9563,ඉරිදා අපරභාග 810 ට ලබයි,m
7279c88bea,3062b,ඉරිදා අපරභාග 810 ට ලබයි,m
15985113c5,55ab9,ඉරිදා පූර්වභාග 0233 ට ලබයි,m
b1fba92490,4f068,උපාසිකා 18 බුදු සමයේ සඳහන්,f
9c3adcc6a7,1a1f3,උසින් අඩි 34 ක් පමණ වන,m
9c04e985c6,3fcd4,උසින් අඩි 34 ක් පමණ වන,f
da17dd37b7,f40d9,උසින් අඩි 44 ක් පමණ වන ඡුක්ඛන්දී ස්ථූපය,m
9be2e58fc3,ee9b8,උසින් අඩි 44 ක් පමණ වන ඡුක්ඛන්දී ස්ථූපය,m
708952c206,df38e,එකල පැවිදි ශිෂ්යයන් 142 නමක්,f
7def5407ea,30661,එක් කොටසකට සිත් 8 බැගින්,f
95e870a700,6b5e6,එකී ආසන ක්රමයෙන් නිරූපිත මුද්රාව වන්නේ 1,m
ebb60c6b7c,fb100,එතුමන් වර්ෂ 1930 දී,f
d690f3e813,7424f,එතුමන් වර්ෂ 1930 දී,m
ac73231c42,84048,එතුමන් වර්ෂ 1930 දී,m
2c15734f09,a4315,එතුමන් වර්ෂ 1930 දී,f
0aae6dd410,2a1cd,එතුමා රුපියල් 500 දක්වා වැඩි කරන ලදී,m
2933bbca4d,02f82,එතුමා රුපියල් 500 දක්වා වැඩි කරන ලදී,m
e258d797bf,db538,එදිනම අපර භාග 1053 දක්වා,f
898987f449,89130,එදිනම අපරභාග 1007 දක්වා,f
5f424f25a7,190e9,එදිනම අපරභාග 1036 දක්වා,f
65520f5f24,f0b2e,එදිනම අපරභාග 1141 දක්වා,m
b7df1512a4,a3fac,එනම් 01අධ්යාපන අංශය,f
b79197721f,346c1,එනම් 01අධ්යාපන අංශය,f
6c6db1dcdf,ec9a8,එනම් 1අඤ්ඤදත්ථු හර,f
23e5a7eaa9,abbea,එනම් 1අඤ්ඤදත්ථු හර,m
8225c6f11e,c8784,එනම් වර්ෂ 1890 දී,f
ef22cdb2b8,08a49,එනම් වර්ෂ 1890 දී,f
610da501ed,b3dda,එනම් වර්ෂ 1890 දී,f
407c5c3128,e0b70,එබඳු දක්ෂතා 03 ක් පිළිබඳව,f
9df1fb67e6,7b332,එබඳු දක්ෂතා 03 ක් පිළිබඳව,m
a0da7bc7a9,0e353,එබැවින් 2013 වසර තුළ,m
5604794890,b3dda,එම ටීකා ග්රන්ථද 2600,f
e77c5534ae,f3204,එම බත කොටස් 3 කට බෙදී,f
51e2b58b5b,409ee,එම බත කොටස් 3 කට බෙදී,m
79688ac58f,6054f,එම සූත්ර 186 ම,f
c4d6c7cd91,2d52b,එම සූත්ර 186 ම,f
915f9d87ea,6c5e8,එමෙන්ම 1994 සිට ගිහි පැවිදි විද්වතුන්ගේ,m
0d9fe479ec,3dd78,එය කාමර 105 කින් යුත්,m
a1f40a7226,25717,එවකට මෙහි උස අඩි 400 ක් පමණ වන බව සඳහන් වේ,m
61126f50b8,54c3a,එවන් ගාථා 423 ක්,f
c6b3a1395d,e35a8,එවන් ගාථා 423 ක්,f
97755e4586,4801b,එවන් ගාථා 423 ක්,f
8970bc1f5e,1afa7,ඒවා වර්ග 26 කට ගොනු,m
8e55d363ce,9e6d1,ඒවා වර්ග 26 කට ගොනු,m
bc7445540f,73ec9,ඒවා වර්ග 26 කට ගොනු,f
3603a4cdfe,e61f1,ක්රිපූ 6 වැනි සියවසේ ය,f
7043d39fdf,a7c07,ක්රිව 02 වැනි සියවසේ දී,m
4565c2ea45,e5fb8,ක්රිව 02 වැනි සියවසේ දී,m
7428d5f280,45feb,ක්රිව 1 හෝ 2 සියවස් වල රචිත බව පිළිගැනේ,m
bc3e0a24c6,357e6,කාණ්ඩ 20ක් විස්තර විවරණ සහිතව,f
83a6d38cec,23e9e,කැඩී බිඳී ශේෂව ගිය නටබුන් අක්කර 12 ක පමණ,f
560e6b5750,9a1ed,කිලෝමීටර් 260 ක් දුරින්,f
91e9322866,d6ab0,කොළ 40 ක් ගනු ලබනවා,f
5ad4204b0a,71b3e,ග්රන්ථ වශයෙන් 57 කම,f
c3f0c4e5e7,c34c2,ජුනි 10 වන දා අඟහරුවාදා පූර්ව භාග 825 ට ලබයි,m
f5a918322c,6054f,ජුනි 10 වන දා අඟහරුවාදා පූර්ව භාග 825 ට ලබයි,f
68adc4826c,1b014,ජුනි 10 වන දා අඟහරුවාදා පූර්ව භාග 825 ට ලබයි,m
92a788180a,016b5,ජුනි 7 වනදා ඉරිදාය,f
3d91933776,91403,ජුනි 7 වනදා ඉරිදාය,m
5c78adaf57,7d7d0,ජුනි මස 04 වැනි දින,f
4b1f0d10ea,b9dc2,ජුනි මස 04 වැනි දින,f
ae6325a8f6,ec9a8,ජුනි මස 04 වැනි දින,f
ef0adedca0,af4ca,ජුනි මස 6 වන දා සෙනසුරාදා අපර භාග 958 ට ලබයි,f
5ec5b2ded2,91403,තිබූ රුපියල් 250ක් වූ මුදල,m
e35dbb3c4d,7374d,දැනට වර්ෂ 13 කට පමණ පෙර,f
a7870835dd,3dd78,දැනට වර්ෂ 13 කට පමණ පෙර,m
2934918809,95423,දැනට වර්ෂ 13 කට පමණ පෙර,f
0da84e4a6d,55ab9,දේවාල පෙරහර 04 ද ගමන් කරනු ලබයි,m
2e978d61f7,4801b,ධර්මාශෝක රජතුමා ඔටුනු පැළඳීමෙන් 18 වන වර්ෂයෙහිදී,f
c0c9725c50,95589,ධර්මාශෝක රජතුමා ඔටුනු පැළඳීමෙන් 18 වන වර්ෂයෙහිදී,m
9ddf49d258,dd6f8,නම් එම භික්ෂුව1,m
10dab2f401,78366,නව වින්8 සංස්කරනය සමග,m
19363bcfa4,a742b,නාමමාත්රික වශයෙන් හෝ 1948 වසරේදි අප වෙත ලබා දීමයි,m
697df934d9,462e8,නාමමාත්රික වශයෙන් හෝ 1948 වසරේදි අප වෙත ලබා දීමයි,f
97c2c70664,ae3ff,නාමමාත්රික වශයෙන් හෝ 1948 වසරේදි අප වෙත ලබා දීමයි,m
c0628b12f9,2d52b,නාමමාත්රික වශයෙන් හෝ 1948 වසරේදි අප වෙත ලබා දීමයි,f
cb5997c0e7,a4fcc,නොවැම්බර් මස 02 වන දිනට යෙදී ඇත,m
67762ed69f,0c839,නොවැම්බර් මස 02 වන දිනට යෙදී ඇත,m
f9a1c0764f,f2ef0,පවතින කුණප කොටස් 32 පිළිබඳව,f
7da68dad84,b3777,පසුගිය 22 දා වීථි සංචාරය කෙරිණි,m
9768e6654b,f200a,පසුගිය 22 දා වීථි සංචාරය කෙරිණි,m
c34740a8d9,d7784,පසුගිය 22 දා වීථි සංචාරය කෙරිණි,f
d6b1531701,73ec9,පසුගිය 22 දා වීථි සංචාරය කෙරිණි,f
d42a030328,ee9b8,පැන නගින ඇතැම් ගැටලු 100 ක් පිළිබඳව,m
2ce6aaba04,dff99,පැන නගින ඇතැම් ගැටලු 100 ක් පිළිබඳව,f
ac723f64d0,29f4f,පැන නගින ඇතැම් ගැටලු 100 ක් පිළිබඳව,f
785f952304,bb0e6,පැය 4 ක් පාගමනින් ගොස්,f
255e4b80cc,c8454,පැය 4 ක් පාගමනින් ගොස්,f
a84ebcc1ac,e6e7b,පැය 4 ක් පාගමනින් ගොස්,f
640d9670d4,30661,පැය 4 ක් පාගමනින් ගොස්,f
9f00675bff,c26ed,පැය 8ක් පමණ වන බවයි,f
9a690d5ec4,b8a97,පැවැතිය යුතු උතුම් ගුණාංග 10 ක් විය,f
1a5c2adb7f,1a1f3,පැවැතිය යුතු උතුම් ගුණාංග 10 ක් විය,m
d17a947a3d,6064f,පැවිද්දන්ට සිල්වත් උතුමන්ට දන් නොදී දෝෂාරෝපණය කිරීම නිසා තැවීමට සිදුවීම 10,f
f2f30cf85d,2b212,පැවිද්දන්ට සිල්වත් උතුමන්ට දන් නොදී දෝෂාරෝපණය කිරීම නිසා තැවීමට සිදුවීම 10,f
bf1f82ee82,d23af,පූර්ව භාග 0150 ට ලබයි,m
352d935d44,5a51f,පූර්ව භාග 0150 ට ලබයි,f
b285bc2a81,d4430,පූර්ව භාග 0337 ට ලබයි,m
d6b490c289,df981,පූර්ව භාග 0337 ට ලබයි,m
774b3e0dcf,b3dda,පූර්ව භාග 841 ට ලබයි,f
06f3efb695,3eb66,පූර්ව භාග 841 ට ලබයි,f
1a07db63fe,8827b,පෙබරවාරි 29 වන දා,f
5256ceb725,ffa9f,පෙබරවාරි 29 වන දා,f
81c68fb468,fb100,පෙබරවාරි මස 14 දා,f
5238e718e9,02f82,පෙරහර 12 ක් ගමන් කිරීමෙන් පසුවයි,m
66fd461f52,f32c3,පෙරහර 12 ක් ගමන් කිරීමෙන් පසුවයි,f
f68bcc1bc3,f12ba,පෙරහර 12 ක් ගමන් කිරීමෙන් පසුවයි,f
ba54c5d473,bced5,පෝදා පෙරවරු 500 ට,m
972f2e12c5,64af4,බක් අමාවක පෝය අප්රේල් 24 වන දා සිකුරාදා පූර්ව භාග 1048 ට ලබයි,m
2447d0a5b6,0a2fe,බදාදා 0539 ට ලබයි,m
7aeafce856,6c5e8,බදාදා 0539 ට ලබයි,m
17b8c110d5,fc710,බිලියන 2 කට අධික,f
68cc37f222,1ccf9,බිලියන 2 කට අධික,m
a2f80d1ee1,b3a0c,බිලියන 2 කට අධික,f
ee0a100211,0a2fe,බිලියන 2 කට අධික,m
859cbd855a,5afae,බිලියන 2 කට අධික,f
5b199dcfbc,3a976,බුද්ධ වර්ෂ 382 දී,m
e5c9c5abf6,1afa7,බුද්ධ වර්ෂ 385 දී පමණ ය,m
38e3314af7,f9563,බුද්ධ වර්ෂ 385 දී පමණ ය,m
2f20209b3c,8e63d,බුද්ධ වර්ෂ 385 දී පමණ ය,f
40dbe79fa5,a4315,බුද්ධත්වය ලබා සති 8කින් නැත්නම් මාස දෙකක් ඉක්මගිය පසුවය,f
153541ab7a,9d5b3,බුද්ධත්වය ලබා සති 8කින් නැත්නම් මාස දෙකක් ඉක්මගිය පසුවය,f
d12b689a34,9094b,බුද්ධත්වයෙන් වසර 5 කට පසුව,f
788f3dfcf1,d316f,බුද්ධත්වයෙන් වසර 5 කට පසුව,f
0f76946c22,1c3b9,භික්ෂූන් වහන්සේලා 203 නමක්,m
45ed68f492,25717,මංගල කරුණු 38 ටද,m
e8301c3c9d,462e8,මත 4 ක් පවතී,f
4a4a61f77e,937dc,මහා නිරයන් 08 හි,f
8e7d948e9f,e8ec1,මහා නිරයන් 08 හි,m
30158cb5af,6fa50,මාර්තු 01 වන දා බ්රහස්පතින්දා,f
1a30c03a88,3fcd4,මාර්තු 01 සෙනසුරාදා,f
a84f93cb73,f8790,මාර්තු 01 සෙනසුරාදා,m
e74bc1aff3,c8454,මාර්තු 01 සෙනසුරාදා,f
39e7fa70f5,a7708,මාර්තු 02 දින,m
76da0c1a37,53c73,මාර්තු 07 වැනි දා බදාදා,m
53f415c8e4,d2f72,මාර්තු 07 වැනි දා බදාදා,m
678c17e527,e3235,මාර්තු 07 වැනි දා බදාදා,m
c20d708102,f71ec,මාර්තු 15 වන දා,f
b13b27274d,72f9d,මාර්තු 15 වන දා,m
b27be9a58f,5a51f,මාර්තු 15 වනදා සඳුදා පූර්ව භාග 1231 ට ලබයි,f
038cd7f443,252fd,මාර්තු 19 වන දා සෙනසුරාදා,f
ae83fedf98,d2f72,මාර්තු 19 වන දා සෙනසුරාදා,m
8d12379d59,d1b3d,මාර්තු මස 08 වැනිදා,f
4659152e54,ab81c,මාර්තු මස 08 වැනිදා,f
94650b72d0,c6f6b,මාර්තු මස 08 වැනිදා,f
9e4204eb21,09537,මාර්තු මස 19 වැනි දා,f
d37e0c190f,f3aed,මාර්තු මස 19 වැනි දා,m
d1e1e69223,ed3e5,මාර්තු මස 23 වැනිදා,m
7f014f5842,05d76,මාර්තු මස 23 වැනිදා,f
40ccbbd793,f0169,මාර්තු මස 23 වැනිදා,f
7db709a01c,f40d9,මාර්තු මස 23 වැනිදා,m
4373e78ef7,8e63d,මාර්තු මස 23 වැනිදා,f
1c568a7da8,3be3a,මාර්තු මස 26 වැනිදා,m
6a37ebb371,88a58,මාර්තු මස 30 වැනි දා,f
c29e14f263,45f15,මාර්තු මස 30 වැනි දා,f
693330746e,effa6,මැයි මස 16 වන දා,m
04bb411d89,f9563,මැයි මස 16 වන දා,m
eda625b114,8957e,මැල්වෙයාර් ප්රමානය මිලියන 75 ඉක්මවන බවයි,m
6bd6c5f302,08a49,මින්නේරියට සැතැපුම් 14 ක් උතුරින් පිහිටා ඇත,f
a4cf43f007,3d532,මිහින්තලයද එසේම අඩි 350ක් උස,f
09771ce5bf,58355,මිහින්තලයද එසේම අඩි 350ක් උස,m
64d6f7846b,52dbc,මිළඟ පෝය සැප්තැම්බර් 12 වැනිදා බ්රහස්පතින්දා ය,m
5d32cb32a2,47746,මිළඟ පෝය සැප්තැම්බර් 12 වැනිදා බ්රහස්පතින්දා ය,f
01a76fde41,a742b,මී ළඟ පෝය ජනවාරි 14 වන දා බ්රහස්පතින්දා ය,m
ba215ed59a,791e8,මී ළඟ පෝය ජනවාරි 14 වන දා බ්රහස්පතින්දා ය,f
861bfd5a15,f3efc,මීට අමතරව කාම ලෝක 11 ට අයත් දිව්ය ලෝකවල,f
5abea5fb45,02578,මීට අමතරව කාම ලෝක 11 ට අයත් දිව්ය ලෝකවල,f
aa521ea4f6,2e076,මීට අවුරුදු 2601 ට කලින් දිව්ය ලෝක තිබුණා,f
caeebb5662,3062b,මීට වසර 34 ට ඉහත දී,m
6f3d34e025,f0098,මීලඟ පෝය අප්රේල් 25 වැනි දා බ්රහස්පතින්දාය,m
2ab74ceedf,06105,මීළඟ පෝය අගෝස්තු 09 වන දා බ්රහස්පතින්දා ය,f
f661f40fed,babec,මීළඟ පෝය අගෝස්තු මස 06 වැනිදා අඟහරුවාදාය,m
76f7a50218,effa6,මීළඟ පෝය අගෝස්තු මස 06 වැනිදා අඟහරුවාදාය,m
04838f74ec,95997,මීළඟ පෝය අගෝස්තු මස 06 වැනිදා අඟහරුවාදාය,f
a2ba00c631,a3fac,මීළඟ පෝය අප්රේල් මස 18 වැනිදා බ්රහස්පතින්දා ය,f
cab8f91ce8,8f885,මීළඟ පෝය ඔක්තෝබර් 07 වන දා බ්රහස්පතින්දාය,m
85a635154f,1575e,මීළඟ පෝය ඔක්තෝබර් 25 වන දා බ්රහස්පතින්දා ය,f
9f45585c1e,be843,මීළඟ පෝය ඔක්තෝබර් මස 18 වෙනිදා සිකුරාදා ය,m
af40528fb2,94b34,මීළඟ පෝය ඔක්තෝබර් මස 18 වෙනිදා සිකුරාදා ය,f
caa562b0d8,e0b70,මීළඟ පෝය ඔක්තෝබර් මස 18 වෙනිදා සිකුරාදා ය,f
0316b44759,8af08,මීළඟ පෝය ජනවාරි මස 05 වැනි දා සෙනසුරාදා ය,m
420251e9f9,a5886,මීළඟ පෝය ජූනි 19 වැනි දා බ්රහස්පතින්දාය,m
29c5e8b458,0e86b,මීළඟ පෝය ජූලි මස 14 වනදා බ්රහස්පතින්දා ය,f
843049e3a8,8af52,මීළඟ පෝය දෙසැම්බර් 06 වැනි දා බ්රහස්පතින්දා ය,f
41824273b9,89830,මීළඟ පෝය දෙසැම්බර් 06 වැනි දා බ්රහස්පතින්දා ය,f
c2ffd920a3,c6a4f,මීළඟ පෝය දෙසැම්බර් 06 වැනි දා බ්රහස්පතින්දා ය,f
bbe223bcf6,d6ab0,මීළඟ පෝය දෙසැම්බර් 06 වැනි දා බ්රහස්පතින්දා ය,f
284ce89dc8,a9c56,මීළඟ පෝය දෙසැම්බර් 20 වැනි බ්රහස්පතින්දා ය,f
e1920d21ea,6fa50,මීළඟ පෝය දෙසැම්බර් මස 27 වැනිදා බ්රහස්පතින්දා ය,f
886a626f10,0b586,මීළඟ පෝය දෙසැම්බර් මස 27 වැනිදා බ්රහස්පතින්දා ය,f
222186171d,0e1e0,මීළඟ පෝය දෙසැම්බර් මස 27 වැනිදා බ්රහස්පතින්දා ය,f
310c71bb87,ddb8f,මීළඟ පෝය දෙසැම්බර් මස 27 වැනිදා බ්රහස්පතින්දා ය,f
06c5f73c24,7ab05,මීළඟ පෝය නොවැම්බර් 06 වැනිදා අඟහරුවාදා ය,f
519dcd6eb3,15cf5,මීළඟ පෝය නොවැම්බර් 06 වැනිදා අඟහරුවාදා ය,f
6adf1fa1fd,2bc1e,මීළඟ පෝය නොවැම්බර් 20 වැනි දා අඟහරුවාදාය,f
4767acd51d,8e63d,මීළඟ පෝය නොවැම්බර් 24 වනදා බ්රහස්පතින්දාය,f
4d81843efd,271cb,මීළඟ පෝය පෙබරවාරි 06 වැනි දා බ්රහස්පතින්දාය,m
29ab1907ac,3bfb3,මීළඟ පෝය පෙබරවාරි 09 වැනි දා සෙනසුරාදා ය,f
73c0dd9db2,7ba10,මීළඟ පෝය පෙබරවාරි 22 වැනි දා සෙනසුරාදා ය,m
c8119e68fb,284b7,මීළඟ පෝය පෙබරවාරි 24 වන දා බ්රහස්පතින්දාය,m
a4e64d22df,a742b,මීළඟ පෝය මැයි මස 06 වන දා බ්රහස්පතින්දා ය,m
e50a678e75,2e800,මීළඟ පෝය මැයි මස 06 වන දා බ්රහස්පතින්දා ය,f
06230d9dca,92637,මීළඟ පෝය මැයි මස 13 වනදා බ්රහස්පතින්දාය,f
3f578471c5,41947,මීළඟ පෝය සැප්තැම්බර් 08 වැනිදා සෙනසුරාදා ය,m
bb8afb33be,0eea5,මීළඟ පෝය සැප්තැම්බර් 08 වැනිදා සෙනසුරාදා ය,f
0125acf64c,715da,මීළඟ පෝය සැප්තැම්බර් 15 වැනි දා සෙනසුරාදාය,f
f5a9164c3c,3a747,මීළඟ පෝය සැප්තැම්බර් 19 වැනි දා බ්රහස්පතින්දාය,f
2beb37c019,e42fe,මීළඟ පෝය සැප්තැම්බර් 20 වන දා අඟහරුවාදා ය,f
b37f623ca9,67c8b,මීළඟ පෝය සැප්තැම්බර් 26 වන දා සෙනසුරාදා ය,f
ce6c3ce40d,0eea5,මීළඟ පෝය සැප්තැම්බර් 27 වෙනිදා සිකුරාදාය,f
431dbc8f91,206b6,මීළඟ පෝය සැප්තැම්බර් 29 වැනි දා සෙනසුරාදා ය,f
a0d35e9e38,b3777,මීළඟ පෝය සැප්තැම්බර් 29 වැනි දා සෙනසුරාදා ය,m
0733ae88ca,4f068,මුල් පියවර 04 අසාර්ථක වූ විට,f
38f51660ab,39cc4,මුල් පියවර 04 අසාර්ථක වූ විට,f
0e45173990,6996c,මුල් මාස 6 තුළ,m
38eb445e44,f2931,මුහුදු මට්ටමටත් වඩා මීටර් 418ක් පහළින් පිහිටි,m
8f90951be8,bae1a,මුහුදු මට්ටමටත් වඩා මීටර් 418ක් පහළින් පිහිටි,m
cd0c257202,880bc,මූල පණ්ණාසකය සූත්ර 50 කින් යුක්ත වේ,m
99868518c5,bba51,මූල පණ්ණාසකය සූත්ර 50 කින් යුක්ත වේ,m
d27179e3bc,8b124,මූලික වන කාරණා 4 නම්,f
5799949047,1575e,මෙකී 24 ආකාර මූලධර්ම වලින්,f
8d7cd6c9b6,0184c,මෙම 25 වන දා,f
a17767f20b,c094f,මෙම 25 වන දා,m
bf57d67824,a7708,මෙම 25 වන දා,m
76a8eb7280,02b89,මෙම දරුවා උපත ලැබුයේ 1965 ජනවාරි 9 වෙනිදාය,m
156cf8535e,0e86b,මෙම නිකාය ග්රන්ථ 5න් සුවිශේෂී කෘතියක්,f
